Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,Stack-LR,96.44,96.27,96.64,96.45,96.44,96.44,0.03,0.99,0.93,Stacking,Move Class
1,Stack-DT,94.69,94.86,94.51,94.68,94.69,94.69,0.05,0.95,0.89,Stacking,Move Class
0,TBStack-LR,97.44,97.87,96.99,97.43,97.44,97.44,0.02,1.0,0.95,TreeStacking,Move Class
1,TBStack-DT,96.24,96.15,96.35,96.25,96.24,96.24,0.04,0.96,0.92,TreeStacking,Move Class
0,DT,90.92,91.4,90.35,90.86,90.92,90.92,0.09,0.91,0.82,Individual,Rename Class
1,LR,85.04,82.54,88.88,85.57,85.04,85.02,0.1,0.94,0.7,Individual,Rename Class
2,SVM,88.1,85.77,91.39,88.47,88.1,88.08,0.08,0.96,0.76,Individual,Rename Class
3,MLP,92.28,91.38,93.39,92.36,92.28,92.28,0.06,0.98,0.85,Individual,Rename Class
4,SGD,85.54,82.7,89.92,86.11,85.54,85.5,0.1,0.95,0.71,Individual,Rename Class
5,NB(B),83.39,82.23,85.2,83.67,83.39,83.38,0.13,0.92,0.67,Individual,Rename Class
6,NB(G),69.63,62.89,95.87,75.95,69.63,67.37,0.3,0.73,0.46,Individual,Rename Class
7,NB(M),87.71,84.16,92.96,88.32,87.71,87.67,0.17,0.94,0.76,Individual,Rename Class
8,KNN,88.22,85.15,92.62,88.69,88.22,88.19,0.09,0.94,0.77,Individual,Rename Class
0,Stack-LR,92.64,92.24,93.12,92.67,92.64,92.64,0.06,0.98,0.85,Stacking,Rename Class
1,Stack-DT,87.2,88.66,85.28,86.88,87.2,87.19,0.13,0.87,0.75,Stacking,Rename Class
0,TBStack-LR,94.33,94.54,94.11,94.32,94.33,94.33,0.04,0.99,0.89,TreeStacking,Rename Class
1,TBStack-DT,91.1,91.21,90.96,91.07,91.1,91.1,0.09,0.91,0.82,TreeStacking,Rename Class
0,DT-GR,80.03,80.19,80.01,80.06,80.03,80.02,0.2,0.8,0.6,Individual,Extract Class
1,LR-GR,77.48,73.46,86.63,79.43,77.48,77.24,0.15,0.86,0.56,Individual,Extract Class
2,SVM-GR,79.46,76.05,86.52,80.87,79.46,79.32,0.14,0.87,0.6,Individual,Extract Class
3,MLP-GR,85.14,81.57,91.15,86.04,85.14,85.07,0.11,0.91,0.71,Individual,Extract Class
4,SGD-GR,76.32,72.95,84.07,78.04,76.32,76.13,0.15,0.85,0.53,Individual,Extract Class
5,NB(B)-GR,70.89,63.66,98.6,77.3,70.89,68.27,0.26,0.75,0.5,Individual,Extract Class
6,NB(G)-GR,56.98,54.06,96.55,69.26,56.98,48.51,0.43,0.83,0.22,Individual,Extract Class
7,NB(M)-GR,76.75,74.74,82.21,78.12,76.75,76.54,0.23,0.79,0.54,Individual,Extract Class
8,KNN-GR,80.69,77.98,85.87,81.68,80.69,80.62,0.14,0.88,0.62,Individual,Extract Class
0,Stack-LR-GR,85.0,81.89,90.29,85.8,85.0,84.94,0.11,0.92,0.71,Stacking,Extract Class
1,Stack-DT-GR,77.86,78.44,77.46,77.71,77.86,77.8,0.22,0.78,0.56,Stacking,Extract Class
0,TBStack-LR-GR,85.8,83.3,89.81,86.38,85.8,85.77,0.1,0.94,0.72,TreeStacking,Extract Class
1,TBStack-DT-GR,79.92,80.36,79.66,79.93,79.92,79.9,0.2,0.8,0.6,TreeStacking,Extract Class
0,DT-GR,82.9,82.25,84.08,83.12,82.9,82.89,0.17,0.83,0.66,Individual,Extract Interface
1,LR-GR,79.22,75.32,87.39,80.84,79.22,79.04,0.14,0.88,0.59,Individual,Extract Interface
2,SVM-GR,83.11,78.74,91.14,84.42,83.11,82.97,0.12,0.9,0.67,Individual,Extract Interface
3,MLP-GR,87.62,86.56,89.17,87.82,87.62,87.61,0.09,0.94,0.75,Individual,Extract Interface
