Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT-GR,76.02,77.1,74.09,75.52,76.02,76.0,0.24,0.76,0.52,Individual,Extract Variable
1,LR-GR,79.68,77.62,83.41,80.4,79.68,79.65,0.15,0.87,0.6,Individual,Extract Variable
2,SVM-GR,80.34,78.33,83.88,81.0,80.34,80.31,0.14,0.87,0.61,Individual,Extract Variable
3,MLP-GR,82.1,80.2,85.25,82.64,82.1,82.08,0.13,0.9,0.64,Individual,Extract Variable
4,SGD-GR,79.12,77.42,82.76,79.84,79.12,79.05,0.15,0.87,0.59,Individual,Extract Variable
5,NB(B)-GR,68.69,63.55,87.68,73.69,68.69,67.51,0.2,0.78,0.4,Individual,Extract Variable
6,NB(G)-GR,65.59,59.7,95.94,73.6,65.59,62.09,0.34,0.83,0.39,Individual,Extract Variable
7,NB(M)-GR,78.98,75.04,86.87,80.51,78.98,78.85,0.2,0.86,0.59,Individual,Extract Variable
8,KNN-GR,80.21,79.36,81.69,80.49,80.21,80.21,0.15,0.87,0.6,Individual,Extract Variable
0,Stack-LR-GR,82.43,80.89,84.94,82.85,82.43,82.41,0.12,0.9,0.65,Stacking,Extract Variable
1,Stack-DT-GR,75.57,75.72,75.31,75.47,75.57,75.56,0.24,0.76,0.51,Stacking,Extract Variable
0,TBStack-LR-GR,84.16,83.12,85.72,84.39,84.16,84.15,0.11,0.92,0.68,TreeStacking,Extract Variable
1,TBStack-DT-GR,75.79,75.84,75.77,75.76,75.79,75.77,0.24,0.76,0.52,TreeStacking,Extract Variable
0,DT-GR,83.41,87.02,78.53,82.55,83.41,83.37,0.17,0.83,0.67,Individual,Inline Variable
1,LR-GR,75.52,71.55,84.74,77.58,75.52,75.31,0.17,0.84,0.52,Individual,Inline Variable
2,SVM-GR,76.1,72.48,84.16,77.88,76.1,75.95,0.17,0.84,0.53,Individual,Inline Variable
3,MLP-GR,83.14,81.98,84.99,83.44,83.14,83.13,0.12,0.91,0.66,Individual,Inline Variable
4,SGD-GR,74.75,70.83,84.26,76.93,74.75,74.5,0.17,0.83,0.5,Individual,Inline Variable
5,NB(B)-GR,73.16,74.43,70.57,72.44,73.16,73.13,0.18,0.82,0.46,Individual,Inline Variable
6,NB(G)-GR,65.99,60.12,95.06,73.65,65.99,62.85,0.34,0.77,0.39,Individual,Inline Variable
7,NB(M)-GR,71.83,66.26,88.93,75.93,71.83,70.97,0.23,0.77,0.46,Individual,Inline Variable
8,KNN-GR,84.16,85.89,81.73,83.75,84.16,84.15,0.12,0.91,0.68,Individual,Inline Variable
0,Stack-LR-GR,88.26,88.46,88.03,88.23,88.26,88.26,0.09,0.95,0.77,Stacking,Inline Variable
1,Stack-DT-GR,82.96,83.84,81.66,82.72,82.96,82.96,0.17,0.83,0.66,Stacking,Inline Variable
0,TBStack-LR-GR,95.83,94.42,97.42,95.9,95.83,95.83,0.04,0.98,0.92,TreeStacking,Inline Variable
1,TBStack-DT-GR,92.97,93.7,92.15,92.91,92.97,92.97,0.07,0.93,0.86,TreeStacking,Inline Variable
0,DT-GR,83.17,88.47,76.29,81.92,83.17,83.09,0.17,0.83,0.67,Individual,Parameterize Variable
1,LR-GR,74.39,70.43,84.07,76.63,74.39,74.15,0.18,0.82,0.5,Individual,Parameterize Variable
2,SVM-GR,75.11,71.38,83.8,77.08,75.11,74.92,0.17,0.83,0.51,Individual,Parameterize Variable
3,MLP-GR,81.44,79.86,84.12,81.91,81.44,81.42,0.13,0.89,0.63,Individual,Parameterize Variable
4,SGD-GR,73.58,70.13,82.59,75.68,73.58,73.28,0.18,0.81,0.48,Individual,Parameterize Variable
5,NB(B)-GR,71.44,71.34,71.66,71.5,71.44,71.44,0.19,0.79,0.43,Individual,Parameterize Variable
6,NB(G)-GR,64.33,58.92,94.64,72.62,64.33,60.72,0.35,0.75,0.36,Individual,Parameterize Variable
7,NB(M)-GR,71.83,67.54,84.03,74.88,71.83,71.4,0.24,0.75,0.45,Individual,Parameterize Variable
8,KNN-GR,82.19,84.51,78.82,81.56,82.19,82.17,0.13,0.89,0.65,Individual,Parameterize Variable
0,Stack-LR-GR,86.97,87.71,86.01,86.83,86.97,86.97,0.1,0.93,0.74,Stacking,Parameterize Variable
1,Stack-DT-GR,80.54,82.19,77.96,80.02,80.54,80.52,0.19,0.81,0.61,Stacking,Parameterize Variable
0,TBStack-LR-GR,94.9,93.26,96.8,94.99,94.9,94.9,0.04,0.98,0.9,TreeStacking,Parameterize Variable
1,TBStack-DT-GR,91.68,92.61,90.59,91.59,91.68,91.68,0.08,0.92,0.83,TreeStacking,Parameterize Variable
0,DT-GR,95.22,99.1,91.28,95.03,95.22,95.21,0.05,0.95,0.91,Individual,Rename Parameter
1,LR-GR,81.26,78.19,86.7,82.22,81.26,81.21,0.13,0.89,0.63,Individual,Rename Parameter
2,SVM-GR,81.26,78.31,86.45,82.18,81.26,81.21,0.13,0.89,0.63,Individual,Rename Parameter
3,MLP-GR,84.76,84.67,84.98,84.79,84.76,84.76,0.11,0.92,0.7,Individual,Rename Parameter
4,SGD-GR,80.58,77.49,86.22,81.62,80.58,80.52,0.14,0.88,0.62,Individual,Rename Parameter
5,NB(B)-GR,74.94,81.49,64.53,72.02,74.94,74.66,0.21,0.83,0.51,Individual,Rename Parameter
6,NB(G)-GR,71.54,64.62,95.19,76.98,71.54,69.86,0.28,0.84,0.49,Individual,Rename Parameter
7,NB(M)-GR,72.29,67.4,86.29,75.69,72.29,71.73,0.23,0.75,0.46,Individual,Rename Parameter
8,KNN-GR,90.07,95.1,84.5,89.48,90.07,90.04,0.07,0.96,0.81,Individual,Rename Parameter
0,Stack-LR-GR,96.87,97.64,96.07,96.85,96.87,96.87,0.03,0.99,0.94,Stacking,Rename Parameter
1,Stack-DT-GR,94.54,94.33,94.79,94.56,94.54,94.54,0.05,0.95,0.89,Stacking,Rename Parameter
0,TBStack-LR-GR,99.33,99.33,99.33,99.33,99.33,99.33,0.01,1.0,0.99,TreeStacking,Rename Parameter
1,TBStack-DT-GR,98.84,98.92,98.75,98.84,98.84,98.84,0.01,0.99,0.98,TreeStacking,Rename Parameter
0,DT-GR,96.02,99.52,92.48,95.87,96.02,96.01,0.04,0.96,0.92,Individual,Rename Variable
1,LR-GR,75.66,71.71,84.73,77.67,75.66,75.46,0.17,0.83,0.52,Individual,Rename Variable
2,SVM-GR,76.03,72.21,84.62,77.91,76.03,75.85,0.17,0.84,0.53,Individual,Rename Variable
3,MLP-GR,84.46,83.86,85.38,84.6,84.46,84.46,0.11,0.92,0.69,Individual,Rename Variable
4,SGD-GR,73.33,68.57,86.16,76.34,73.33,72.88,0.19,0.82,0.48,Individual,Rename Variable
5,NB(B)-GR,71.7,75.29,64.59,69.52,71.7,71.55,0.2,0.8,0.44,Individual,Rename Variable
6,NB(G)-GR,63.29,58.18,94.49,72.02,63.29,59.34,0.36,0.81,0.34,Individual,Rename Variable
7,NB(M)-GR,71.14,73.05,67.0,69.86,71.14,71.08,0.24,0.77,0.42,Individual,Rename Variable
8,KNN-GR,91.96,97.86,85.8,91.43,91.96,91.93,0.06,0.97,0.85,Individual,Rename Variable
0,Stack-LR-GR,98.11,98.85,97.34,98.09,98.11,98.11,0.02,0.99,0.96,Stacking,Rename Variable
1,Stack-DT-GR,96.64,96.34,96.97,96.66,96.64,96.64,0.03,0.97,0.93,Stacking,Rename Variable
0,TBStack-LR-GR,99.53,99.68,99.38,99.53,99.53,99.53,0.0,1.0,0.99,TreeStacking,Rename Variable
1,TBStack-DT-GR,99.26,99.22,99.3,99.26,99.26,99.26,0.01,0.99,0.99,TreeStacking,Rename Variable
0,DT-GR,85.09,90.05,78.89,84.1,85.09,85.03,0.15,0.85,0.71,Individual,Replace Variable With Attribute
1,LR-GR,78.38,74.41,86.5,80.0,78.38,78.23,0.15,0.86,0.58,Individual,Replace Variable With Attribute
2,SVM-GR,78.66,75.05,85.88,80.09,78.66,78.54,0.15,0.86,0.58,Individual,Replace Variable With Attribute
3,MLP-GR,82.18,80.88,84.31,82.54,82.18,82.16,0.13,0.9,0.64,Individual,Replace Variable With Attribute
4,SGD-GR,78.12,74.63,85.43,79.61,78.12,77.99,0.16,0.85,0.57,Individual,Replace Variable With Attribute
5,NB(B)-GR,71.78,77.15,61.89,68.66,71.78,71.5,0.21,0.79,0.44,Individual,Replace Variable With Attribute
6,NB(G)-GR,68.66,61.99,96.47,75.48,68.66,66.03,0.31,0.77,0.45,Individual,Replace Variable With Attribute
7,NB(M)-GR,72.37,66.12,91.77,76.85,72.37,71.29,0.23,0.75,0.49,Individual,Replace Variable With Attribute
8,KNN-GR,82.91,82.72,83.2,82.95,82.91,82.91,0.13,0.89,0.66,Individual,Replace Variable With Attribute
0,Stack-LR-GR,87.33,87.33,87.33,87.32,87.33,87.33,0.1,0.94,0.75,Stacking,Replace Variable With Attribute
1,Stack-DT-GR,81.03,82.09,79.39,80.71,81.03,81.03,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
0,TBStack-LR-GR,95.2,93.44,97.23,95.3,95.2,95.2,0.04,0.98,0.9,TreeStacking,Replace Variable With Attribute
1,TBStack-DT-GR,91.42,92.79,89.83,91.28,91.42,91.42,0.09,0.91,0.83,TreeStacking,Replace Variable With Attribute
0,DT-PCA,74.13,74.99,72.46,73.67,74.13,74.12,0.26,0.74,0.48,Individual,Extract Variable
1,LR-PCA,79.87,77.84,83.53,80.56,79.87,79.84,0.15,0.87,0.6,Individual,Extract Variable
2,SVM-PCA,79.53,77.79,82.72,80.15,79.53,79.5,0.15,0.87,0.59,Individual,Extract Variable
3,MLP-PCA,82.1,80.87,84.16,82.45,82.1,82.08,0.13,0.9,0.64,Individual,Extract Variable
4,SGD-PCA,80.04,78.53,82.97,80.58,80.04,80.0,0.15,0.87,0.6,Individual,Extract Variable
5,NB(B)-PCA,74.82,75.95,72.72,74.26,74.82,74.8,0.18,0.82,0.5,Individual,Extract Variable
6,NB(G)-PCA,65.11,60.02,90.52,72.17,65.11,62.69,0.33,0.8,0.35,Individual,Extract Variable
7,KNN-PCA,80.34,79.69,81.48,80.56,80.34,80.33,0.15,0.86,0.61,Individual,Extract Variable
0,Stack-LR-PCA,82.33,81.92,83.03,82.43,82.33,82.33,0.13,0.9,0.65,Stacking,Extract Variable
1,Stack-DT-PCA,75.13,75.46,74.52,74.96,75.13,75.12,0.25,0.75,0.5,Stacking,Extract Variable
0,TBStack-LR-PCA,82.54,82.37,82.82,82.57,82.54,82.53,0.12,0.91,0.65,TreeStacking,Extract Variable
1,TBStack-DT-PCA,74.34,74.84,73.37,74.07,74.34,74.33,0.26,0.74,0.49,TreeStacking,Extract Variable
0,DT-PCA,76.43,78.81,72.32,75.42,76.43,76.39,0.24,0.76,0.53,Individual,Inline Variable
1,LR-PCA,76.38,72.92,83.93,78.03,76.38,76.25,0.17,0.84,0.53,Individual,Inline Variable
2,SVM-PCA,76.34,73.06,83.45,77.9,76.34,76.22,0.17,0.84,0.53,Individual,Inline Variable
3,MLP-PCA,81.11,79.75,83.45,81.54,81.11,81.1,0.13,0.89,0.62,Individual,Inline Variable
4,SGD-PCA,76.04,72.33,84.39,77.86,76.04,75.86,0.17,0.84,0.53,Individual,Inline Variable
5,NB(B)-PCA,72.34,71.56,74.13,72.81,72.34,72.33,0.2,0.79,0.45,Individual,Inline Variable
6,NB(G)-PCA,67.44,61.7,91.98,73.85,67.44,65.35,0.32,0.8,0.4,Individual,Inline Variable
7,KNN-PCA,80.27,80.74,79.52,80.12,80.27,80.27,0.15,0.87,0.61,Individual,Inline Variable
0,Stack-LR-PCA,82.59,81.93,83.65,82.76,82.59,82.58,0.12,0.91,0.65,Stacking,Inline Variable
1,Stack-DT-PCA,75.31,76.03,73.95,74.94,75.31,75.29,0.25,0.75,0.51,Stacking,Inline Variable
0,TBStack-LR-PCA,85.95,84.64,87.84,86.21,85.95,85.95,0.1,0.93,0.72,TreeStacking,Inline Variable
1,TBStack-DT-PCA,78.99,79.76,77.69,78.7,78.99,78.98,0.21,0.79,0.58,TreeStacking,Inline Variable
0,DT-PCA,75.12,77.83,70.25,73.84,75.12,75.06,0.25,0.75,0.5,Individual,Parameterize Variable
1,LR-PCA,75.3,71.9,83.02,77.05,75.3,75.15,0.17,0.83,0.51,Individual,Parameterize Variable
2,SVM-PCA,75.31,72.06,82.64,76.97,75.31,75.18,0.17,0.83,0.51,Individual,Parameterize Variable
3,MLP-PCA,80.65,79.36,82.82,81.03,80.65,80.64,0.14,0.89,0.61,Individual,Parameterize Variable
4,SGD-PCA,75.07,72.19,81.81,76.6,75.07,74.92,0.17,0.83,0.51,Individual,Parameterize Variable
5,NB(B)-PCA,71.81,71.2,73.21,72.18,71.81,71.8,0.19,0.78,0.44,Individual,Parameterize Variable
6,NB(G)-PCA,65.94,60.57,91.29,72.82,65.94,63.59,0.33,0.78,0.37,Individual,Parameterize Variable
7,KNN-PCA,79.28,79.59,78.74,79.16,79.28,79.28,0.15,0.86,0.59,Individual,Parameterize Variable
0,Stack-LR-PCA,82.37,81.6,83.57,82.56,82.37,82.36,0.13,0.9,0.65,Stacking,Parameterize Variable
1,Stack-DT-PCA,74.56,75.52,72.66,74.05,74.56,74.55,0.25,0.75,0.49,Stacking,Parameterize Variable
0,TBStack-LR-PCA,84.87,84.08,86.02,85.02,84.87,84.86,0.11,0.92,0.7,TreeStacking,Parameterize Variable
1,TBStack-DT-PCA,78.11,78.89,76.74,77.79,78.11,78.1,0.22,0.78,0.56,TreeStacking,Parameterize Variable
0,DT-PCA,91.18,95.43,86.5,90.74,91.18,91.16,0.09,0.91,0.83,Individual,Rename Parameter
1,LR-PCA,81.28,78.25,86.64,82.23,81.28,81.23,0.13,0.89,0.63,Individual,Rename Parameter
2,SVM-PCA,81.14,78.24,86.29,82.07,81.14,81.09,0.13,0.89,0.63,Individual,Rename Parameter
3,MLP-PCA,85.17,83.96,86.99,85.43,85.17,85.16,0.11,0.93,0.7,Individual,Rename Parameter
4,SGD-PCA,80.99,77.96,86.4,81.96,80.99,80.93,0.14,0.89,0.62,Individual,Rename Parameter
5,NB(B)-PCA,76.75,76.73,76.77,76.75,76.75,76.75,0.17,0.84,0.53,Individual,Rename Parameter
6,NB(G)-PCA,71.6,65.04,93.41,76.69,71.6,70.19,0.27,0.85,0.48,Individual,Rename Parameter
7,KNN-PCA,88.77,92.88,83.99,88.21,88.77,88.75,0.08,0.95,0.78,Individual,Rename Parameter
0,Stack-LR-PCA,93.33,94.14,92.42,93.27,93.33,93.33,0.05,0.97,0.87,Stacking,Rename Parameter
1,Stack-DT-PCA,89.56,89.62,89.49,89.55,89.56,89.56,0.1,0.9,0.79,Stacking,Rename Parameter
0,TBStack-LR-PCA,97.87,97.29,98.48,97.88,97.87,97.87,0.02,0.99,0.96,TreeStacking,Rename Parameter
1,TBStack-DT-PCA,96.18,96.56,95.77,96.16,96.18,96.18,0.04,0.96,0.92,TreeStacking,Rename Parameter
0,DT-PCA,88.97,94.65,82.61,88.22,88.97,88.92,0.11,0.89,0.79,Individual,Rename Variable
1,LR-PCA,74.94,71.77,82.2,76.62,74.94,74.8,0.17,0.82,0.5,Individual,Rename Variable
2,SVM-PCA,74.71,71.71,81.61,76.33,74.71,74.59,0.17,0.82,0.5,Individual,Rename Variable
3,MLP-PCA,82.68,82.22,83.44,82.79,82.68,82.67,0.12,0.91,0.65,Individual,Rename Variable
4,SGD-PCA,74.65,71.34,82.43,76.47,74.65,74.49,0.18,0.82,0.5,Individual,Rename Variable
5,NB(B)-PCA,69.59,70.68,66.97,68.76,69.59,69.57,0.21,0.77,0.39,Individual,Rename Variable
6,NB(G)-PCA,62.42,57.87,91.27,70.82,62.42,59.0,0.36,0.75,0.3,Individual,Rename Variable
7,KNN-PCA,85.48,90.58,79.2,84.5,85.48,85.42,0.11,0.93,0.72,Individual,Rename Variable
0,Stack-LR-PCA,91.6,93.11,89.86,91.45,91.6,91.6,0.06,0.97,0.83,Stacking,Rename Variable
1,Stack-DT-PCA,87.37,87.5,87.2,87.34,87.37,87.37,0.13,0.87,0.75,Stacking,Rename Variable
0,TBStack-LR-PCA,96.91,96.3,97.56,96.93,96.91,96.91,0.03,0.99,0.94,TreeStacking,Rename Variable
1,TBStack-DT-PCA,94.52,95.12,93.87,94.49,94.52,94.52,0.05,0.95,0.89,TreeStacking,Rename Variable
0,DT-PCA,78.28,80.19,75.12,77.57,78.28,78.26,0.22,0.78,0.57,Individual,Replace Variable With Attribute
1,LR-PCA,79.45,75.3,87.67,81.01,79.45,79.31,0.15,0.87,0.6,Individual,Replace Variable With Attribute
2,SVM-PCA,79.51,75.7,86.94,80.93,79.51,79.4,0.15,0.87,0.6,Individual,Replace Variable With Attribute
3,MLP-PCA,83.77,82.67,85.48,84.03,83.77,83.76,0.12,0.91,0.68,Individual,Replace Variable With Attribute
4,SGD-PCA,78.96,74.67,87.7,80.64,78.96,78.79,0.15,0.87,0.59,Individual,Replace Variable With Attribute
5,NB(B)-PCA,74.22,73.38,76.0,74.67,74.22,74.21,0.19,0.81,0.48,Individual,Replace Variable With Attribute
6,NB(G)-PCA,70.71,64.29,93.17,76.08,70.71,69.15,0.28,0.83,0.46,Individual,Replace Variable With Attribute
7,KNN-PCA,82.31,81.53,83.54,82.52,82.31,82.3,0.13,0.89,0.65,Individual,Replace Variable With Attribute
0,Stack-LR-PCA,84.74,83.94,85.94,84.92,84.74,84.74,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
1,Stack-DT-PCA,77.62,78.2,76.58,77.37,77.62,77.61,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
0,TBStack-LR-PCA,86.73,86.03,87.72,86.86,86.73,86.73,0.1,0.94,0.73,TreeStacking,Replace Variable With Attribute
1,TBStack-DT-PCA,80.54,81.18,79.52,80.34,80.54,80.54,0.19,0.81,0.61,TreeStacking,Replace Variable With Attribute
