,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
17,Stack-DT,PCA,77.64,78.05,76.92,77.48,77.64,77.64,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
18,Stack-DT,PCA,78.87,78.5,79.52,79.01,78.87,78.87,0.21,0.79,0.55,Stacking,Replace Variable With Attribute
19,Stack-DT,PCA,78.1,77.9,78.46,78.18,78.1,78.1,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
0,TBStack-LR,PCA,86.51,86.15,87.02,86.58,86.51,86.51,0.1,0.94,0.73,TreeStacking,Replace Variable With Attribute
1,TBStack-LR,PCA,87.93,87.68,88.27,87.97,87.93,87.93,0.09,0.94,0.73,TreeStacking,Replace Variable With Attribute
2,TBStack-LR,PCA,86.47,86.27,86.73,86.5,86.47,86.47,0.1,0.94,0.73,TreeStacking,Replace Variable With Attribute
3,TBStack-LR,PCA,86.03,85.24,87.16,86.19,86.03,86.03,0.1,0.93,0.73,TreeStacking,Replace Variable With Attribute
4,TBStack-LR,PCA,86.63,86.53,86.78,86.65,86.63,86.63,0.1,0.94,0.73,TreeStacking,Replace Variable With Attribute
5,TBStack-LR,PCA,87.16,85.95,88.85,87.38,87.16,87.16,0.09,0.94,0.73,TreeStacking,Replace Variable With Attribute
6,TBStack-LR,PCA,86.25,85.94,86.68,86.31,86.25,86.25,0.1,0.93,0.73,TreeStacking,Replace Variable With Attribute
7,TBStack-LR,PCA,85.91,85.44,86.59,86.01,85.91,85.91,0.1,0.93,0.73,TreeStacking,Replace Variable With Attribute
8,TBStack-LR,PCA,87.64,85.69,90.38,87.97,87.64,87.63,0.09,0.95,0.73,TreeStacking,Replace Variable With Attribute
9,TBStack-LR,PCA,86.78,85.38,88.75,87.03,86.78,86.77,0.1,0.94,0.73,TreeStacking,Replace Variable With Attribute
10,TBStack-DT,PCA,80.5,81.55,78.85,80.18,80.5,80.5,0.19,0.81,0.61,TreeStacking,Replace Variable With Attribute
11,TBStack-DT,PCA,82.04,82.75,80.96,81.85,82.04,82.04,0.18,0.82,0.61,TreeStacking,Replace Variable With Attribute
12,TBStack-DT,PCA,80.99,82.18,79.13,80.63,80.99,80.98,0.19,0.81,0.61,TreeStacking,Replace Variable With Attribute
13,TBStack-DT,PCA,79.57,80.27,78.41,79.33,79.57,79.56,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
14,TBStack-DT,PCA,80.41,81.14,79.23,80.18,80.41,80.41,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
15,TBStack-DT,PCA,80.31,81.04,79.13,80.08,80.31,80.31,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
16,TBStack-DT,PCA,80.05,80.7,78.99,79.83,80.05,80.05,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
17,TBStack-DT,PCA,80.36,81.28,78.89,80.07,80.36,80.36,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
18,TBStack-DT,PCA,81.15,80.62,82.02,81.32,81.15,81.15,0.19,0.81,0.61,TreeStacking,Replace Variable With Attribute
19,TBStack-DT,PCA,80.02,80.27,79.62,79.94,80.02,80.02,0.2,0.8,0.61,TreeStacking,Replace Variable With Attribute
0,Stack-LR,NoFS,81.62,79.94,84.42,82.12,81.62,81.61,0.13,0.9,0.66,Stacking,Extract Variable
1,Stack-LR,NoFS,84.42,83.38,85.98,84.66,84.42,84.42,0.11,0.91,0.66,Stacking,Extract Variable
2,Stack-LR,NoFS,81.93,81.16,83.18,82.15,81.93,81.93,0.13,0.9,0.66,Stacking,Extract Variable
3,Stack-LR,NoFS,82.71,80.35,86.6,83.36,82.71,82.68,0.13,0.89,0.66,Stacking,Extract Variable
4,Stack-LR,NoFS,79.25,78.42,80.62,79.51,79.25,79.25,0.15,0.86,0.66,Stacking,Extract Variable
5,Stack-LR,NoFS,80.97,80.37,81.88,81.11,80.97,80.97,0.14,0.89,0.66,Stacking,Extract Variable
6,Stack-LR,NoFS,83.46,83.23,83.75,83.49,83.46,83.46,0.12,0.91,0.66,Stacking,Extract Variable
7,Stack-LR,NoFS,82.53,85.42,78.5,81.82,82.53,82.5,0.12,0.91,0.66,Stacking,Extract Variable
8,Stack-LR,NoFS,84.71,82.13,88.79,85.33,84.71,84.69,0.12,0.92,0.66,Stacking,Extract Variable
9,Stack-LR,NoFS,86.58,84.66,89.41,86.97,86.58,86.57,0.1,0.93,0.66,Stacking,Extract Variable
10,Stack-DT,NoFS,74.92,74.69,75.39,75.04,74.92,74.92,0.25,0.75,0.51,Stacking,Extract Variable
11,Stack-DT,NoFS,77.26,76.28,79.13,77.68,77.26,77.25,0.23,0.77,0.51,Stacking,Extract Variable
12,Stack-DT,NoFS,75.08,75.72,73.83,74.76,75.08,75.07,0.25,0.75,0.51,Stacking,Extract Variable
13,Stack-DT,NoFS,76.32,77,75.08,76.03,76.32,76.32,0.24,0.76,0.51,Stacking,Extract Variable
14,Stack-DT,NoFS,73.32,74.11,71.56,72.81,73.32,73.31,0.27,0.73,0.51,Stacking,Extract Variable
15,Stack-DT,NoFS,72.07,72.38,71.25,71.81,72.07,72.07,0.28,0.72,0.51,Stacking,Extract Variable
16,Stack-DT,NoFS,74.73,75.65,72.81,74.2,74.73,74.72,0.25,0.75,0.51,Stacking,Extract Variable
17,Stack-DT,NoFS,75.82,75,77.57,76.26,75.82,75.81,0.24,0.76,0.51,Stacking,Extract Variable
18,Stack-DT,NoFS,75.04,74.62,76.01,75.31,75.04,75.04,0.25,0.75,0.51,Stacking,Extract Variable
19,Stack-DT,NoFS,80.03,79.33,81.31,80.31,80.03,80.03,0.2,0.8,0.51,Stacking,Extract Variable
0,TBStack-LR,NoFS,82.09,79.94,85.67,82.71,82.09,82.06,0.12,0.91,0.68,TreeStacking,Extract Variable
1,TBStack-LR,NoFS,86.92,83.95,91.28,87.46,86.92,86.89,0.1,0.92,0.68,TreeStacking,Extract Variable
2,TBStack-LR,NoFS,84.58,83.64,85.98,84.79,84.58,84.58,0.11,0.93,0.68,TreeStacking,Extract Variable
3,TBStack-LR,NoFS,83.96,82.44,86.29,84.32,83.96,83.95,0.11,0.92,0.68,TreeStacking,Extract Variable
4,TBStack-LR,NoFS,79.88,80.51,78.75,79.62,79.88,79.87,0.14,0.89,0.68,TreeStacking,Extract Variable
5,TBStack-LR,NoFS,81.59,80.98,82.5,81.73,81.59,81.59,0.13,0.9,0.68,TreeStacking,Extract Variable
6,TBStack-LR,NoFS,85.02,85.44,84.38,84.91,85.02,85.02,0.11,0.93,0.68,TreeStacking,Extract Variable
7,TBStack-LR,NoFS,84.09,84.54,83.49,84.01,84.09,84.09,0.11,0.93,0.68,TreeStacking,Extract Variable
8,TBStack-LR,NoFS,84.87,83.53,86.92,85.19,84.87,84.86,0.11,0.93,0.68,TreeStacking,Extract Variable
9,TBStack-LR,NoFS,87.68,86.01,90.03,87.98,87.68,87.67,0.09,0.95,0.68,TreeStacking,Extract Variable
10,TBStack-DT,NoFS,75.86,75,77.57,76.26,75.86,75.85,0.24,0.76,0.54,TreeStacking,Extract Variable
11,TBStack-DT,NoFS,76.01,77.02,74.14,75.56,76.01,76,0.24,0.76,0.54,TreeStacking,Extract Variable
12,TBStack-DT,NoFS,76.79,76.88,76.64,76.76,76.79,76.79,0.23,0.77,0.54,TreeStacking,Extract Variable
13,TBStack-DT,NoFS,77.73,78.34,76.64,77.48,77.73,77.72,0.22,0.78,0.54,TreeStacking,Extract Variable
14,TBStack-DT,NoFS,71.92,72.58,70.31,71.43,71.92,71.91,0.28,0.72,0.54,TreeStacking,Extract Variable
15,TBStack-DT,NoFS,76.91,76.54,77.5,77.02,76.91,76.91,0.23,0.77,0.54,TreeStacking,Extract Variable
16,TBStack-DT,NoFS,78,78.06,77.81,77.93,78,78,0.22,0.78,0.54,TreeStacking,Extract Variable
17,TBStack-DT,NoFS,78,80.2,74.45,77.22,78,77.98,0.22,0.78,0.54,TreeStacking,Extract Variable
18,TBStack-DT,NoFS,80.5,79.52,82.24,80.86,80.5,80.49,0.2,0.8,0.54,TreeStacking,Extract Variable
19,TBStack-DT,NoFS,79.72,79.94,79.44,79.69,79.72,79.72,0.2,0.8,0.54,TreeStacking,Extract Variable
0,Stack-LR,NoFS,85.55,84.52,87.04,85.76,85.55,85.55,0.1,0.93,0.73,Stacking,Inline Variable
1,Stack-LR,NoFS,87,87.4,86.47,86.93,87,87,0.1,0.94,0.73,Stacking,Inline Variable
2,Stack-LR,NoFS,85.63,85.91,85.25,85.58,85.63,85.63,0.1,0.93,0.73,Stacking,Inline Variable
3,Stack-LR,NoFS,87.39,85.06,90.72,87.8,87.39,87.38,0.09,0.94,0.73,Stacking,Inline Variable
4,Stack-LR,NoFS,87.04,86.21,88.18,87.19,87.04,87.04,0.09,0.94,0.73,Stacking,Inline Variable
5,Stack-LR,NoFS,86.24,87.36,84.75,86.03,86.24,86.24,0.1,0.93,0.73,Stacking,Inline Variable
6,Stack-LR,NoFS,85.9,85.43,86.55,85.99,85.9,85.89,0.1,0.93,0.73,Stacking,Inline Variable
7,Stack-LR,NoFS,85.98,86.15,85.73,85.94,85.98,85.98,0.1,0.93,0.73,Stacking,Inline Variable
8,Stack-LR,NoFS,86.82,84.94,89.49,87.16,86.82,86.81,0.1,0.94,0.73,Stacking,Inline Variable
9,Stack-LR,NoFS,87.57,85.98,89.78,87.84,87.57,87.57,0.09,0.94,0.73,Stacking,Inline Variable
10,Stack-DT,NoFS,80.4,81.2,79.11,80.14,80.4,80.4,0.2,0.8,0.62,Stacking,Inline Variable
11,Stack-DT,NoFS,80.99,82.96,78,80.4,80.99,80.98,0.19,0.81,0.62,Stacking,Inline Variable
12,Stack-DT,NoFS,80.83,81.58,79.65,80.6,80.83,80.83,0.19,0.81,0.62,Stacking,Inline Variable
13,Stack-DT,NoFS,80.24,80.94,79.12,80.02,80.24,80.23,0.2,0.8,0.62,Stacking,Inline Variable
14,Stack-DT,NoFS,80.74,80.72,80.78,80.75,80.74,80.74,0.19,0.81,0.62,Stacking,Inline Variable
15,Stack-DT,NoFS,80.36,81.03,79.27,80.14,80.36,80.35,0.2,0.8,0.62,Stacking,Inline Variable
16,Stack-DT,NoFS,80.62,81.16,79.76,80.45,80.62,80.62,0.19,0.81,0.62,Stacking,Inline Variable
17,Stack-DT,NoFS,80.4,80.74,79.84,80.29,80.4,80.4,0.2,0.8,0.62,Stacking,Inline Variable
18,Stack-DT,NoFS,81.58,81.47,81.77,81.62,81.58,81.58,0.18,0.82,0.62,Stacking,Inline Variable
19,Stack-DT,NoFS,81.95,81.17,83.2,82.17,81.95,81.95,0.18,0.82,0.62,Stacking,Inline Variable
0,TBStack-LR,NoFS,93.44,93,93.95,93.47,93.44,93.44,0.05,0.97,0.87,TreeStacking,Inline Variable
1,TBStack-LR,NoFS,93.73,93.11,94.44,93.77,93.73,93.73,0.05,0.97,0.87,TreeStacking,Inline Variable
2,TBStack-LR,NoFS,93.3,91.99,94.85,93.4,93.3,93.29,0.05,0.97,0.87,TreeStacking,Inline Variable
3,TBStack-LR,NoFS,94.36,92.72,96.28,94.47,94.36,94.36,0.05,0.98,0.87,TreeStacking,Inline Variable
4,TBStack-LR,NoFS,93.79,92.81,94.93,93.86,93.79,93.78,0.05,0.98,0.87,TreeStacking,Inline Variable
5,TBStack-LR,NoFS,92.76,92.35,93.25,92.8,92.76,92.76,0.06,0.97,0.87,TreeStacking,Inline Variable
6,TBStack-LR,NoFS,93.3,91.99,94.85,93.4,93.3,93.29,0.05,0.97,0.87,TreeStacking,Inline Variable
7,TBStack-LR,NoFS,92.89,91.76,94.24,92.98,92.89,92.89,0.05,0.97,0.87,TreeStacking,Inline Variable
8,TBStack-LR,NoFS,93.25,92.08,94.64,93.35,93.25,93.25,0.05,0.98,0.87,TreeStacking,Inline Variable
9,TBStack-LR,NoFS,93.74,92.43,95.3,93.84,93.74,93.74,0.05,0.98,0.87,TreeStacking,Inline Variable
10,TBStack-DT,NoFS,89.62,90.75,88.23,89.47,89.62,89.62,0.1,0.9,0.79,TreeStacking,Inline Variable
11,TBStack-DT,NoFS,90.17,91.44,88.63,90.01,90.17,90.17,0.1,0.9,0.79,TreeStacking,Inline Variable
12,TBStack-DT,NoFS,90.03,90.76,89.13,89.94,90.03,90.03,0.1,0.9,0.79,TreeStacking,Inline Variable
13,TBStack-DT,NoFS,89.7,89.64,89.78,89.71,89.7,89.7,0.1,0.9,0.79,TreeStacking,Inline Variable
14,TBStack-DT,NoFS,89.55,90.23,88.72,89.47,89.55,89.55,0.1,0.9,0.79,TreeStacking,Inline Variable
15,TBStack-DT,NoFS,89.64,90.79,88.23,89.49,89.64,89.63,0.1,0.9,0.79,TreeStacking,Inline Variable
16,TBStack-DT,NoFS,89.51,89.92,89,89.46,89.51,89.51,0.1,0.9,0.79,TreeStacking,Inline Variable
17,TBStack-DT,NoFS,89.49,89.4,89.62,89.51,89.49,89.49,0.11,0.89,0.79,TreeStacking,Inline Variable
18,TBStack-DT,NoFS,89.39,90.3,88.27,89.27,89.39,89.39,0.11,0.89,0.79,TreeStacking,Inline Variable
19,TBStack-DT,NoFS,89.51,89.89,89.04,89.46,89.51,89.51,0.1,0.9,0.79,TreeStacking,Inline Variable
0,Stack-LR,NoFS,85.32,87.84,81.99,84.82,85.32,85.31,0.11,0.93,0.71,Stacking,Parameterize Variable
1,Stack-LR,NoFS,86.33,84.2,89.45,86.75,86.33,86.32,0.1,0.94,0.71,Stacking,Parameterize Variable
2,Stack-LR,NoFS,84.71,85.97,82.95,84.44,84.71,84.7,0.11,0.92,0.71,Stacking,Parameterize Variable
3,Stack-LR,NoFS,86.33,85.82,87.05,86.43,86.33,86.33,0.1,0.93,0.71,Stacking,Parameterize Variable
4,Stack-LR,NoFS,85.3,84.96,85.78,85.37,85.3,85.3,0.11,0.92,0.71,Stacking,Parameterize Variable
5,Stack-LR,NoFS,83.54,85.42,80.87,83.09,83.54,83.53,0.12,0.92,0.71,Stacking,Parameterize Variable
6,Stack-LR,NoFS,85.54,83.42,88.71,85.98,85.54,85.52,0.11,0.93,0.71,Stacking,Parameterize Variable
7,Stack-LR,NoFS,85.94,86.13,85.67,85.9,85.94,85.93,0.1,0.93,0.71,Stacking,Parameterize Variable
8,Stack-LR,NoFS,85.3,84.45,86.52,85.47,85.3,85.29,0.1,0.93,0.71,Stacking,Parameterize Variable
9,Stack-LR,NoFS,86.49,85.57,87.8,86.67,86.49,86.49,0.1,0.93,0.71,Stacking,Parameterize Variable
10,Stack-DT,NoFS,80.61,81.83,78.69,80.23,80.61,80.6,0.19,0.81,0.58,Stacking,Parameterize Variable
11,Stack-DT,NoFS,80.61,79.75,82.05,80.88,80.61,80.6,0.19,0.81,0.58,Stacking,Parameterize Variable
12,Stack-DT,NoFS,79.36,79.91,78.42,79.16,79.36,79.35,0.21,0.79,0.58,Stacking,Parameterize Variable
13,Stack-DT,NoFS,78.64,78.64,78.64,78.64,78.64,78.64,0.21,0.79,0.58,Stacking,Parameterize Variable
14,Stack-DT,NoFS,77.57,79.32,74.59,76.88,77.57,77.55,0.22,0.78,0.58,Stacking,Parameterize Variable
15,Stack-DT,NoFS,77.28,78.93,74.43,76.61,77.28,77.26,0.23,0.77,0.58,Stacking,Parameterize Variable
16,Stack-DT,NoFS,79.89,79.25,80.98,80.11,79.89,79.89,0.2,0.8,0.58,Stacking,Parameterize Variable
17,Stack-DT,NoFS,77.65,79.39,74.69,76.97,77.65,77.63,0.22,0.78,0.58,Stacking,Parameterize Variable
18,Stack-DT,NoFS,79.91,79.05,81.41,80.21,79.91,79.91,0.2,0.8,0.58,Stacking,Parameterize Variable
19,Stack-DT,NoFS,79.97,80.49,79.12,79.8,79.97,79.97,0.2,0.8,0.58,Stacking,Parameterize Variable
0,TBStack-LR,NoFS,91.13,91.28,90.94,91.11,91.13,91.13,0.07,0.96,0.83,TreeStacking,Parameterize Variable
1,TBStack-LR,NoFS,92.57,92.05,93.18,92.61,92.57,92.57,0.06,0.97,0.83,TreeStacking,Parameterize Variable
2,TBStack-LR,NoFS,90.65,90.29,91.1,90.69,90.65,90.65,0.07,0.96,0.83,TreeStacking,Parameterize Variable
3,TBStack-LR,NoFS,92.65,91.24,94.35,92.77,92.65,92.65,0.06,0.97,0.83,TreeStacking,Parameterize Variable
4,TBStack-LR,NoFS,91.32,90.12,92.81,91.44,91.32,91.31,0.07,0.96,0.83,TreeStacking,Parameterize Variable
5,TBStack-LR,NoFS,91.21,90.95,91.53,91.24,91.21,91.21,0.07,0.96,0.83,TreeStacking,Parameterize Variable
6,TBStack-LR,NoFS,92.46,90.21,95.26,92.67,92.46,92.46,0.06,0.96,0.83,TreeStacking,Parameterize Variable
7,TBStack-LR,NoFS,90.89,89.87,92.17,91,90.89,90.89,0.07,0.96,0.83,TreeStacking,Parameterize Variable
8,TBStack-LR,NoFS,91.77,90.66,93.13,91.88,91.77,91.77,0.06,0.97,0.83,TreeStacking,Parameterize Variable
9,TBStack-LR,NoFS,91.98,90.12,94.3,92.16,91.98,91.98,0.06,0.97,0.83,TreeStacking,Parameterize Variable
10,TBStack-DT,NoFS,86.79,89.12,83.8,86.38,86.79,86.78,0.13,0.87,0.75,TreeStacking,Parameterize Variable
11,TBStack-DT,NoFS,87.8,89.66,85.46,87.51,87.8,87.79,0.12,0.88,0.75,TreeStacking,Parameterize Variable
12,TBStack-DT,NoFS,86.55,86.65,86.41,86.53,86.55,86.55,0.13,0.87,0.75,TreeStacking,Parameterize Variable
13,TBStack-DT,NoFS,88.36,89.09,87.43,88.25,88.36,88.36,0.12,0.88,0.75,TreeStacking,Parameterize Variable
14,TBStack-DT,NoFS,86.79,87.1,86.36,86.73,86.79,86.79,0.13,0.87,0.75,TreeStacking,Parameterize Variable
15,TBStack-DT,NoFS,86.92,88.12,85.35,86.71,86.92,86.92,0.13,0.87,0.75,TreeStacking,Parameterize Variable
16,TBStack-DT,NoFS,88.25,88.27,88.23,88.25,88.25,88.25,0.12,0.88,0.75,TreeStacking,Parameterize Variable
17,TBStack-DT,NoFS,87.27,87.75,86.63,87.18,87.27,87.27,0.13,0.87,0.75,TreeStacking,Parameterize Variable
18,TBStack-DT,NoFS,88.41,88.85,87.85,88.35,88.41,88.41,0.12,0.88,0.75,TreeStacking,Parameterize Variable
19,TBStack-DT,NoFS,86.92,87.14,86.63,86.88,86.92,86.92,0.13,0.87,0.75,TreeStacking,Parameterize Variable
0,Stack-LR,NoFS,96.17,97.43,94.85,96.12,96.17,96.17,0.03,0.98,0.92,Stacking,Rename Parameter
1,Stack-LR,NoFS,96.25,97.13,95.31,96.21,96.25,96.25,0.03,0.99,0.92,Stacking,Rename Parameter
2,Stack-LR,NoFS,96.52,96.97,96.04,96.5,96.52,96.52,0.03,0.99,0.92,Stacking,Rename Parameter
3,Stack-LR,NoFS,96.11,96.7,95.47,96.08,96.11,96.11,0.03,0.99,0.92,Stacking,Rename Parameter
4,Stack-LR,NoFS,96.18,96.7,95.61,96.16,96.18,96.18,0.03,0.99,0.92,Stacking,Rename Parameter
5,Stack-LR,NoFS,95.91,96.48,95.29,95.88,95.91,95.91,0.03,0.99,0.92,Stacking,Rename Parameter
6,Stack-LR,NoFS,96.26,96.72,95.78,96.25,96.26,96.26,0.03,0.99,0.92,Stacking,Rename Parameter
7,Stack-LR,NoFS,96.13,97.02,95.17,96.09,96.13,96.13,0.03,0.99,0.92,Stacking,Rename Parameter
8,Stack-LR,NoFS,95.68,96.59,94.71,95.64,95.68,95.68,0.03,0.98,0.92,Stacking,Rename Parameter
9,Stack-LR,NoFS,96.58,96.94,96.19,96.57,96.58,96.58,0.03,0.99,0.92,Stacking,Rename Parameter
10,Stack-DT,NoFS,93.82,94.22,93.36,93.79,93.82,93.82,0.06,0.94,0.87,Stacking,Rename Parameter
11,Stack-DT,NoFS,94.05,93.87,94.25,94.06,94.05,94.05,0.06,0.94,0.87,Stacking,Rename Parameter
12,Stack-DT,NoFS,94.04,94.04,94.04,94.04,94.04,94.04,0.06,0.94,0.87,Stacking,Rename Parameter
13,Stack-DT,NoFS,93.48,93.82,93.09,93.45,93.48,93.48,0.07,0.93,0.87,Stacking,Rename Parameter
14,Stack-DT,NoFS,93.55,93.76,93.3,93.53,93.55,93.54,0.06,0.94,0.87,Stacking,Rename Parameter
15,Stack-DT,NoFS,93.41,93.44,93.37,93.41,93.41,93.41,0.07,0.93,0.87,Stacking,Rename Parameter
16,Stack-DT,NoFS,93.71,93.7,93.72,93.71,93.71,93.71,0.06,0.94,0.87,Stacking,Rename Parameter
17,Stack-DT,NoFS,93.51,93.85,93.12,93.48,93.51,93.51,0.06,0.94,0.87,Stacking,Rename Parameter
18,Stack-DT,NoFS,93.27,92.89,93.71,93.3,93.27,93.27,0.07,0.93,0.87,Stacking,Rename Parameter
19,Stack-DT,NoFS,93.94,93.98,93.89,93.94,93.94,93.94,0.06,0.94,0.87,Stacking,Rename Parameter
0,TBStack-LR,NoFS,98.74,98.93,98.55,98.74,98.74,98.74,0.01,1,0.98,TreeStacking,Rename Parameter
1,TBStack-LR,NoFS,99.09,99.1,99.08,99.09,99.09,99.09,0.01,1,0.98,TreeStacking,Rename Parameter
2,TBStack-LR,NoFS,99.01,98.93,99.09,99.01,99.01,99.01,0.01,1,0.98,TreeStacking,Rename Parameter
3,TBStack-LR,NoFS,99.21,99,99.43,99.21,99.21,99.21,0.01,1,0.98,TreeStacking,Rename Parameter
4,TBStack-LR,NoFS,99.09,98.9,99.29,99.09,99.09,99.09,0.01,1,0.98,TreeStacking,Rename Parameter
5,TBStack-LR,NoFS,98.85,98.93,98.76,98.85,98.85,98.85,0.01,1,0.98,TreeStacking,Rename Parameter
6,TBStack-LR,NoFS,99.05,98.98,99.12,99.05,99.05,99.05,0.01,1,0.98,TreeStacking,Rename Parameter
7,TBStack-LR,NoFS,99.18,98.87,99.49,99.18,99.18,99.18,0.01,1,0.98,TreeStacking,Rename Parameter
8,TBStack-LR,NoFS,99.04,98.9,99.19,99.04,99.04,99.04,0.01,1,0.98,TreeStacking,Rename Parameter
9,TBStack-LR,NoFS,99.21,99.01,99.41,99.21,99.21,99.21,0.01,1,0.98,TreeStacking,Rename Parameter
10,TBStack-DT,NoFS,98.59,98.69,98.47,98.58,98.59,98.59,0.01,0.99,0.97,TreeStacking,Rename Parameter
11,TBStack-DT,NoFS,98.46,98.62,98.3,98.46,98.46,98.46,0.02,0.98,0.97,TreeStacking,Rename Parameter
12,TBStack-DT,NoFS,98.53,98.76,98.3,98.53,98.53,98.53,0.01,0.99,0.97,TreeStacking,Rename Parameter
13,TBStack-DT,NoFS,98.63,98.73,98.52,98.63,98.63,98.63,0.01,0.99,0.97,TreeStacking,Rename Parameter
14,TBStack-DT,NoFS,98.5,98.62,98.37,98.5,98.5,98.5,0.02,0.98,0.97,TreeStacking,Rename Parameter
15,TBStack-DT,NoFS,98.41,98.77,98.04,98.4,98.41,98.41,0.02,0.98,0.97,TreeStacking,Rename Parameter
16,TBStack-DT,NoFS,98.48,98.54,98.43,98.48,98.48,98.48,0.02,0.98,0.97,TreeStacking,Rename Parameter
17,TBStack-DT,NoFS,98.63,98.6,98.67,98.64,98.63,98.63,0.01,0.99,0.97,TreeStacking,Rename Parameter
18,TBStack-DT,NoFS,98.57,98.63,98.51,98.57,98.57,98.57,0.01,0.99,0.97,TreeStacking,Rename Parameter
19,TBStack-DT,NoFS,98.54,98.59,98.5,98.54,98.54,98.54,0.01,0.99,0.97,TreeStacking,Rename Parameter
0,Stack-LR,NoFS,95.72,96.69,94.69,95.68,95.72,95.72,0.04,0.99,0.91,Stacking,Rename Variable
1,Stack-LR,NoFS,95.54,96.35,94.66,95.5,95.54,95.54,0.04,0.98,0.91,Stacking,Rename Variable
2,Stack-LR,NoFS,95.9,96.9,94.84,95.86,95.9,95.9,0.03,0.99,0.91,Stacking,Rename Variable
3,Stack-LR,NoFS,95.76,96.69,94.76,95.71,95.76,95.76,0.04,0.99,0.91,Stacking,Rename Variable
4,Stack-LR,NoFS,95.67,96.23,95.06,95.64,95.67,95.67,0.03,0.99,0.91,Stacking,Rename Variable
5,Stack-LR,NoFS,95.14,96.02,94.18,95.09,95.14,95.14,0.04,0.98,0.91,Stacking,Rename Variable
6,Stack-LR,NoFS,95.56,96.35,94.7,95.52,95.56,95.56,0.04,0.99,0.91,Stacking,Rename Variable
7,Stack-LR,NoFS,95.33,97,93.55,95.24,95.33,95.33,0.04,0.99,0.91,Stacking,Rename Variable
8,Stack-LR,NoFS,95.67,96.64,94.63,95.63,95.67,95.67,0.04,0.99,0.91,Stacking,Rename Variable
9,Stack-LR,NoFS,95.78,96.62,94.88,95.74,95.78,95.78,0.04,0.99,0.91,Stacking,Rename Variable
10,Stack-DT,NoFS,93.12,93.06,93.18,93.12,93.12,93.12,0.07,0.93,0.86,Stacking,Rename Variable
11,Stack-DT,NoFS,92.45,93.16,91.63,92.39,92.45,92.45,0.08,0.92,0.86,Stacking,Rename Variable
12,Stack-DT,NoFS,93.28,94.04,92.42,93.22,93.28,93.28,0.07,0.93,0.86,Stacking,Rename Variable
13,Stack-DT,NoFS,92.82,93.28,92.3,92.78,92.82,92.82,0.07,0.93,0.86,Stacking,Rename Variable
14,Stack-DT,NoFS,93.02,93.4,92.58,92.99,93.02,93.02,0.07,0.93,0.86,Stacking,Rename Variable
15,Stack-DT,NoFS,92.29,93.51,90.89,92.18,92.29,92.29,0.08,0.92,0.86,Stacking,Rename Variable
16,Stack-DT,NoFS,93.11,92.81,93.45,93.13,93.11,93.11,0.07,0.93,0.86,Stacking,Rename Variable
17,Stack-DT,NoFS,92.82,92.33,93.4,92.86,92.82,92.82,0.07,0.93,0.86,Stacking,Rename Variable
18,Stack-DT,NoFS,92.97,92.8,93.18,92.99,92.97,92.97,0.07,0.93,0.86,Stacking,Rename Variable
19,Stack-DT,NoFS,92.81,93.18,92.37,92.77,92.81,92.81,0.07,0.93,0.86,Stacking,Rename Variable
0,TBStack-LR,NoFS,99.13,99.34,98.92,99.13,99.13,99.13,0.01,1,0.98,TreeStacking,Rename Variable
1,TBStack-LR,NoFS,99,99.29,98.71,99,99,99,0.01,1,0.98,TreeStacking,Rename Variable
2,TBStack-LR,NoFS,99.24,99.37,99.11,99.24,99.24,99.24,0.01,1,0.98,TreeStacking,Rename Variable
3,TBStack-LR,NoFS,99.23,99.33,99.14,99.23,99.23,99.23,0.01,1,0.98,TreeStacking,Rename Variable
4,TBStack-LR,NoFS,99.38,99.36,99.41,99.38,99.38,99.38,0.01,1,0.98,TreeStacking,Rename Variable
5,TBStack-LR,NoFS,98.88,99.35,98.4,98.87,98.88,98.88,0.01,1,0.98,TreeStacking,Rename Variable
6,TBStack-LR,NoFS,99.28,99.26,99.29,99.28,99.28,99.28,0.01,1,0.98,TreeStacking,Rename Variable
7,TBStack-LR,NoFS,99.32,99.25,99.38,99.32,99.32,99.32,0.01,1,0.98,TreeStacking,Rename Variable
8,TBStack-LR,NoFS,99.25,99.33,99.17,99.25,99.25,99.25,0.01,1,0.98,TreeStacking,Rename Variable
9,TBStack-LR,NoFS,99.27,99.31,99.22,99.27,99.27,99.27,0.01,1,0.98,TreeStacking,Rename Variable
10,TBStack-DT,NoFS,98.78,98.98,98.57,98.78,98.78,98.78,0.01,0.99,0.98,TreeStacking,Rename Variable
11,TBStack-DT,NoFS,98.65,98.94,98.35,98.65,98.65,98.65,0.01,0.99,0.98,TreeStacking,Rename Variable
12,TBStack-DT,NoFS,98.88,99.01,98.75,98.88,98.88,98.88,0.01,0.99,0.98,TreeStacking,Rename Variable
13,TBStack-DT,NoFS,98.75,98.9,98.6,98.75,98.75,98.75,0.01,0.99,0.98,TreeStacking,Rename Variable
