Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
47,SGD-PCA,Stack-DT-PCA,t-test,12.53906597505402,0.002187515582997741,Reject,SGD-PCA,Stack-DT-PCA,Extract And Move Method
48,SGD-PCA,TBStack-LR-PCA,t-test,12.53906597505402,4.080252794017177e-05,Reject,TBStack-LR-PCA,SGD-PCA,Extract And Move Method
49,SGD-PCA,TBStack-DT-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
50,NB(B)-PCA,NB(G)-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
51,NB(B)-PCA,KNN-PCA,t-test,12.53906597505402,5.805001098103731e-06,Reject,KNN-PCA,NB(B)-PCA,Extract And Move Method
53,NB(B)-PCA,Stack-LR-PCA,t-test,12.53906597505402,1.920115298910798e-08,Reject,Stack-LR-PCA,NB(B)-PCA,Extract And Move Method
54,NB(B)-PCA,Stack-DT-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
55,NB(B)-PCA,TBStack-LR-PCA,t-test,12.53906597505402,6.99351873724328e-08,Reject,TBStack-LR-PCA,NB(B)-PCA,Extract And Move Method
56,NB(B)-PCA,TBStack-DT-PCA,t-test,12.53906597505402,0.256640667149954,Accept,,,Extract And Move Method
57,NB(G)-PCA,KNN-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
59,NB(G)-PCA,Stack-LR-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
60,NB(G)-PCA,Stack-DT-PCA,t-test,12.53906597505402,0.3046875,Accept,,,Extract And Move Method
61,NB(G)-PCA,TBStack-LR-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
62,NB(G)-PCA,TBStack-DT-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
64,KNN-PCA,Stack-LR-PCA,t-test,12.53906597505402,0.0001286191991326866,Reject,Stack-LR-PCA,KNN-PCA,Extract And Move Method
65,KNN-PCA,Stack-DT-PCA,t-test,12.53906597505402,2.016484466973654e-05,Reject,KNN-PCA,Stack-DT-PCA,Extract And Move Method
66,KNN-PCA,TBStack-LR-PCA,t-test,12.53906597505402,0.000132712920682844,Reject,TBStack-LR-PCA,KNN-PCA,Extract And Move Method
67,KNN-PCA,TBStack-DT-PCA,t-test,12.53906597505402,0.07170269859348094,Accept,,,Extract And Move Method
72,Stack-LR-PCA,Stack-DT-PCA,t-test,12.53906597505402,8.708848606360796e-08,Reject,Stack-LR-PCA,Stack-DT-PCA,Extract And Move Method
73,Stack-LR-PCA,TBStack-LR-PCA,t-test,12.53906597505402,0.1118764004077841,Accept,,,Extract And Move Method
74,Stack-LR-PCA,TBStack-DT-PCA,t-test,12.53906597505402,0.0001919223650128657,Reject,Stack-LR-PCA,TBStack-DT-PCA,Extract And Move Method
75,Stack-DT-PCA,TBStack-LR-PCA,t-test,12.53906597505402,6.007143724059338e-06,Reject,TBStack-LR-PCA,Stack-DT-PCA,Extract And Move Method
76,Stack-DT-PCA,TBStack-DT-PCA,t-test,12.53906597505402,0.1826123883877946,Accept,,,Extract And Move Method
77,TBStack-LR-PCA,TBStack-DT-PCA,t-test,12.53906597505402,4.127102608104911e-05,Reject,TBStack-LR-PCA,TBStack-DT-PCA,Extract And Move Method
0,DT-PCA,LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
1,DT-PCA,SVM-PCA,Wilcoxon,0.0,1.210200545141967e-05,Reject,SVM-PCA,DT-PCA,Extract Method
2,DT-PCA,MLP-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
3,DT-PCA,SGD-PCA,Wilcoxon,0.0,1.910743975075479e-05,Reject,SGD-PCA,DT-PCA,Extract Method
4,DT-PCA,NB(B)-PCA,Wilcoxon,0.0,0.0001075358976925104,Reject,NB(B)-PCA,DT-PCA,Extract Method
5,DT-PCA,NB(G)-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
6,DT-PCA,KNN-PCA,Wilcoxon,0.0,0.02053112634120774,Reject,KNN-PCA,DT-PCA,Extract Method
8,DT-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
9,DT-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.004771084251456175,Reject,Stack-DT-PCA,DT-PCA,Extract Method
10,DT-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
11,DT-PCA,TBStack-DT-PCA,Wilcoxon,0.0,3.630206509461601e-05,Reject,TBStack-DT-PCA,DT-PCA,Extract Method
12,LR-PCA,SVM-PCA,Wilcoxon,0.0,0.45703125,Accept,,,Extract Method
13,LR-PCA,MLP-PCA,Wilcoxon,0.0,0.76171875,Accept,,,Extract Method
14,LR-PCA,SGD-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
15,LR-PCA,NB(B)-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
16,LR-PCA,NB(G)-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
17,LR-PCA,KNN-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
19,LR-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
20,LR-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
21,LR-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
22,LR-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
23,SVM-PCA,MLP-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
24,SVM-PCA,SGD-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
25,SVM-PCA,NB(B)-PCA,Wilcoxon,0.0,0.0002940990213126945,Reject,SVM-PCA,NB(B)-PCA,Extract Method
26,SVM-PCA,NB(G)-PCA,Wilcoxon,0.0,3.081409479848337e-06,Reject,SVM-PCA,NB(G)-PCA,Extract Method
27,SVM-PCA,KNN-PCA,Wilcoxon,0.0,0.02009627012205299,Reject,SVM-PCA,KNN-PCA,Extract Method
29,SVM-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
30,SVM-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.001791119011897718,Reject,SVM-PCA,Stack-DT-PCA,Extract Method
31,SVM-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
32,SVM-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.005059129837709648,Reject,SVM-PCA,TBStack-DT-PCA,Extract Method
33,MLP-PCA,SGD-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
34,MLP-PCA,NB(B)-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
35,MLP-PCA,NB(G)-PCA,Wilcoxon,0.0,0.3046875,Accept,,,Extract Method
36,MLP-PCA,KNN-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
38,MLP-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
39,MLP-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
40,MLP-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
41,MLP-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.3046875,Accept,,,Extract Method
42,SGD-PCA,NB(B)-PCA,Wilcoxon,0.0,0.002792677720426174,Reject,SGD-PCA,NB(B)-PCA,Extract Method
43,SGD-PCA,NB(G)-PCA,Wilcoxon,0.0,1.585361138251447e-06,Reject,SGD-PCA,NB(G)-PCA,Extract Method
44,SGD-PCA,KNN-PCA,Wilcoxon,0.0,0.02098231037925033,Reject,SGD-PCA,KNN-PCA,Extract Method
46,SGD-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
47,SGD-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.00344893851759174,Reject,SGD-PCA,Stack-DT-PCA,Extract Method
48,SGD-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
49,SGD-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.005059519875357133,Reject,SGD-PCA,TBStack-DT-PCA,Extract Method
50,NB(B)-PCA,NB(G)-PCA,Wilcoxon,0.0,0.0007132371919067433,Reject,NB(B)-PCA,NB(G)-PCA,Extract Method
51,NB(B)-PCA,KNN-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
53,NB(B)-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
54,NB(B)-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.1183579212848248,Accept,,,Extract Method
55,NB(B)-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
56,NB(B)-PCA,TBStack-DT-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
57,NB(G)-PCA,KNN-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
59,NB(G)-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
60,NB(G)-PCA,Stack-DT-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
61,NB(G)-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
62,NB(G)-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.3611231345877118,Accept,,,Extract Method
64,KNN-PCA,Stack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
65,KNN-PCA,Stack-DT-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
66,KNN-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
67,KNN-PCA,TBStack-DT-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
72,Stack-LR-PCA,Stack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
73,Stack-LR-PCA,TBStack-LR-PCA,Wilcoxon,0.0,1.0,Accept,,,Extract Method
74,Stack-LR-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
75,Stack-DT-PCA,TBStack-LR-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
76,Stack-DT-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.08817779679747034,Accept,,,Extract Method
77,TBStack-LR-PCA,TBStack-DT-PCA,Wilcoxon,0.0,0.15234375,Accept,,,Extract Method
0,DT-PCA,LR-PCA,t-test,90.66167293108379,6.800564438605199e-05,Reject,DT-PCA,LR-PCA,Inline Method
1,DT-PCA,SVM-PCA,t-test,90.66167293108379,5.734343202047081e-05,Reject,DT-PCA,SVM-PCA,Inline Method
2,DT-PCA,MLP-PCA,t-test,90.66167293108379,1.974370282609035e-05,Reject,MLP-PCA,DT-PCA,Inline Method
3,DT-PCA,SGD-PCA,t-test,90.66167293108379,0.0003113652296710946,Reject,DT-PCA,SGD-PCA,Inline Method
4,DT-PCA,NB(B)-PCA,t-test,90.66167293108379,7.228397331605111e-06,Reject,DT-PCA,NB(B)-PCA,Inline Method
5,DT-PCA,NB(G)-PCA,t-test,90.66167293108379,2.50296229130771e-10,Reject,DT-PCA,NB(G)-PCA,Inline Method
6,DT-PCA,KNN-PCA,t-test,90.66167293108379,1.145082143365728e-05,Reject,KNN-PCA,DT-PCA,Inline Method
8,DT-PCA,Stack-LR-PCA,t-test,90.66167293108379,3.285493102871141e-09,Reject,Stack-LR-PCA,DT-PCA,Inline Method
9,DT-PCA,Stack-DT-PCA,t-test,90.66167293108379,2.796163692349578e-05,Reject,DT-PCA,Stack-DT-PCA,Inline Method
10,DT-PCA,TBStack-LR-PCA,t-test,90.66167293108379,3.011967230376153e-11,Reject,TBStack-LR-PCA,DT-PCA,Inline Method
11,DT-PCA,TBStack-DT-PCA,t-test,90.66167293108379,2.748117141727081e-07,Reject,TBStack-DT-PCA,DT-PCA,Inline Method
12,LR-PCA,SVM-PCA,t-test,90.66167293108379,1.0,Accept,,,Inline Method
13,LR-PCA,MLP-PCA,t-test,90.66167293108379,1.465578840180792e-07,Reject,MLP-PCA,LR-PCA,Inline Method
14,LR-PCA,SGD-PCA,t-test,90.66167293108379,0.7557446352132143,Accept,,,Inline Method
15,LR-PCA,NB(B)-PCA,t-test,90.66167293108379,6.249881717968056e-05,Reject,LR-PCA,NB(B)-PCA,Inline Method
16,LR-PCA,NB(G)-PCA,t-test,90.66167293108379,1.434743651895779e-07,Reject,LR-PCA,NB(G)-PCA,Inline Method
17,LR-PCA,KNN-PCA,t-test,90.66167293108379,3.953801181237658e-09,Reject,KNN-PCA,LR-PCA,Inline Method
19,LR-PCA,Stack-LR-PCA,t-test,90.66167293108379,2.532477533193596e-09,Reject,Stack-LR-PCA,LR-PCA,Inline Method
20,LR-PCA,Stack-DT-PCA,t-test,90.66167293108379,0.03876452339252245,Reject,Stack-DT-PCA,LR-PCA,Inline Method
21,LR-PCA,TBStack-LR-PCA,t-test,90.66167293108379,2.918233273262053e-12,Reject,TBStack-LR-PCA,LR-PCA,Inline Method
22,LR-PCA,TBStack-DT-PCA,t-test,90.66167293108379,1.81024685815096e-08,Reject,TBStack-DT-PCA,LR-PCA,Inline Method
23,SVM-PCA,MLP-PCA,t-test,90.66167293108379,1.158052135177903e-07,Reject,MLP-PCA,SVM-PCA,Inline Method
24,SVM-PCA,SGD-PCA,t-test,90.66167293108379,0.4960303154880688,Accept,,,Inline Method
25,SVM-PCA,NB(B)-PCA,t-test,90.66167293108379,3.710297170259186e-05,Reject,SVM-PCA,NB(B)-PCA,Inline Method
26,SVM-PCA,NB(G)-PCA,t-test,90.66167293108379,7.918504650757998e-08,Reject,SVM-PCA,NB(G)-PCA,Inline Method
27,SVM-PCA,KNN-PCA,t-test,90.66167293108379,2.759505140924707e-09,Reject,KNN-PCA,SVM-PCA,Inline Method
29,SVM-PCA,Stack-LR-PCA,t-test,90.66167293108379,1.709254324843733e-09,Reject,Stack-LR-PCA,SVM-PCA,Inline Method
30,SVM-PCA,Stack-DT-PCA,t-test,90.66167293108379,0.03347433158517468,Reject,Stack-DT-PCA,SVM-PCA,Inline Method
31,SVM-PCA,TBStack-LR-PCA,t-test,90.66167293108379,2.122650975610369e-12,Reject,TBStack-LR-PCA,SVM-PCA,Inline Method
32,SVM-PCA,TBStack-DT-PCA,t-test,90.66167293108379,1.178333138678279e-08,Reject,TBStack-DT-PCA,SVM-PCA,Inline Method
33,MLP-PCA,SGD-PCA,t-test,90.66167293108379,1.977800835454071e-06,Reject,MLP-PCA,SGD-PCA,Inline Method
34,MLP-PCA,NB(B)-PCA,t-test,90.66167293108379,3.749620236437028e-08,Reject,MLP-PCA,NB(B)-PCA,Inline Method
35,MLP-PCA,NB(G)-PCA,t-test,90.66167293108379,3.743493393797859e-11,Reject,MLP-PCA,NB(G)-PCA,Inline Method
36,MLP-PCA,KNN-PCA,t-test,90.66167293108379,0.9210374107964865,Accept,,,Inline Method
38,MLP-PCA,Stack-LR-PCA,t-test,90.66167293108379,2.186816064954462e-07,Reject,Stack-LR-PCA,MLP-PCA,Inline Method
39,MLP-PCA,Stack-DT-PCA,t-test,90.66167293108379,1.155868281995995e-08,Reject,MLP-PCA,Stack-DT-PCA,Inline Method
40,MLP-PCA,TBStack-LR-PCA,t-test,90.66167293108379,2.014248495749609e-11,Reject,TBStack-LR-PCA,MLP-PCA,Inline Method
41,MLP-PCA,TBStack-DT-PCA,t-test,90.66167293108379,0.3133821997690955,Accept,,,Inline Method
42,SGD-PCA,NB(B)-PCA,t-test,90.66167293108379,0.2299863988091529,Accept,,,Inline Method
43,SGD-PCA,NB(G)-PCA,t-test,90.66167293108379,2.793922268112477e-06,Reject,SGD-PCA,NB(G)-PCA,Inline Method
44,SGD-PCA,KNN-PCA,t-test,90.66167293108379,6.047776860587845e-07,Reject,KNN-PCA,SGD-PCA,Inline Method
46,SGD-PCA,Stack-LR-PCA,t-test,90.66167293108379,3.40501985563974e-08,Reject,Stack-LR-PCA,SGD-PCA,Inline Method
47,SGD-PCA,Stack-DT-PCA,t-test,90.66167293108379,0.04133538927074475,Reject,Stack-DT-PCA,SGD-PCA,Inline Method
48,SGD-PCA,TBStack-LR-PCA,t-test,90.66167293108379,7.630199919340733e-10,Reject,TBStack-LR-PCA,SGD-PCA,Inline Method
49,SGD-PCA,TBStack-DT-PCA,t-test,90.66167293108379,1.043567329805791e-06,Reject,TBStack-DT-PCA,SGD-PCA,Inline Method
50,NB(B)-PCA,NB(G)-PCA,t-test,90.66167293108379,1.032521546749582e-06,Reject,NB(B)-PCA,NB(G)-PCA,Inline Method
51,NB(B)-PCA,KNN-PCA,t-test,90.66167293108379,9.99747751403304e-10,Reject,KNN-PCA,NB(B)-PCA,Inline Method
53,NB(B)-PCA,Stack-LR-PCA,t-test,90.66167293108379,3.447044271827054e-09,Reject,Stack-LR-PCA,NB(B)-PCA,Inline Method
54,NB(B)-PCA,Stack-DT-PCA,t-test,90.66167293108379,0.0001607125355494588,Reject,Stack-DT-PCA,NB(B)-PCA,Inline Method
55,NB(B)-PCA,TBStack-LR-PCA,t-test,90.66167293108379,3.721525969044658e-12,Reject,TBStack-LR-PCA,NB(B)-PCA,Inline Method
56,NB(B)-PCA,TBStack-DT-PCA,t-test,90.66167293108379,9.491771969888123e-09,Reject,TBStack-DT-PCA,NB(B)-PCA,Inline Method
57,NB(G)-PCA,KNN-PCA,t-test,90.66167293108379,2.274423041132044e-10,Reject,KNN-PCA,NB(G)-PCA,Inline Method
