,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
18,Stack-DT,NoFS,62.23,59.21,78.62,67.55,62.23,61.19,0.38,0.62,0.31,Stacking,Rename Method
19,Stack-DT,NoFS,68.04,65.42,76.55,70.55,68.04,67.81,0.32,0.68,0.31,Stacking,Rename Method
0,TBStack-LR,NoFS,84.15,86.62,80.79,83.6,84.15,84.14,0.12,0.92,0.59,TreeStacking,Rename Method
1,TBStack-LR,NoFS,82.05,83.04,80.56,81.78,82.05,82.05,0.13,0.89,0.59,TreeStacking,Rename Method
2,TBStack-LR,NoFS,79.84,79.03,81.23,80.12,79.84,79.84,0.14,0.89,0.59,TreeStacking,Rename Method
3,TBStack-LR,NoFS,80.74,81.12,80.14,80.63,80.74,80.74,0.14,0.89,0.59,TreeStacking,Rename Method
4,TBStack-LR,NoFS,70.12,66.41,81.4,73.15,70.12,69.73,0.2,0.78,0.59,TreeStacking,Rename Method
5,TBStack-LR,NoFS,82.07,83.3,80.23,81.74,82.07,82.07,0.13,0.9,0.59,TreeStacking,Rename Method
6,TBStack-LR,NoFS,76.5,74.11,81.48,77.62,76.5,76.45,0.16,0.85,0.59,TreeStacking,Rename Method
7,TBStack-LR,NoFS,82,82.57,81.11,81.84,82,82,0.13,0.9,0.59,TreeStacking,Rename Method
8,TBStack-LR,NoFS,74.88,72.74,79.57,76.01,74.88,74.82,0.18,0.81,0.59,TreeStacking,Rename Method
9,TBStack-LR,NoFS,80.21,79.52,81.39,80.44,80.21,80.21,0.14,0.88,0.59,TreeStacking,Rename Method
10,TBStack-DT,NoFS,70.03,67.25,78.09,72.27,70.03,69.84,0.3,0.7,0.33,TreeStacking,Rename Method
11,TBStack-DT,NoFS,67.23,64.4,77.04,70.16,67.23,66.91,0.33,0.67,0.33,TreeStacking,Rename Method
12,TBStack-DT,NoFS,64.48,61.15,79.39,69.09,64.48,63.67,0.36,0.64,0.33,TreeStacking,Rename Method
13,TBStack-DT,NoFS,68.58,65.32,79.21,71.6,68.58,68.22,0.31,0.69,0.33,TreeStacking,Rename Method
14,TBStack-DT,NoFS,62.48,59.19,80.37,68.17,62.48,61.23,0.38,0.62,0.33,TreeStacking,Rename Method
15,TBStack-DT,NoFS,65.1,61.6,80.17,69.67,65.1,64.29,0.35,0.65,0.33,TreeStacking,Rename Method
16,TBStack-DT,NoFS,62.4,59.27,79.26,67.82,62.4,61.3,0.38,0.62,0.33,TreeStacking,Rename Method
17,TBStack-DT,NoFS,67.64,64.95,76.66,70.32,67.64,67.38,0.32,0.68,0.33,TreeStacking,Rename Method
18,TBStack-DT,NoFS,64.16,60.73,80.14,69.1,64.16,63.22,0.36,0.64,0.33,TreeStacking,Rename Method
19,TBStack-DT,NoFS,66.27,63.39,77.04,69.55,66.27,65.88,0.34,0.66,0.33,TreeStacking,Rename Method
0,Stack-LR,GR,79.99,79.01,81.67,80.32,79.99,79.98,0.14,0.89,0.59,Stacking,Extract And Move Method
1,Stack-LR,GR,78.03,78.26,77.63,77.94,78.03,78.03,0.15,0.86,0.59,Stacking,Extract And Move Method
2,Stack-LR,GR,78.23,78.82,77.22,78.01,78.23,78.23,0.15,0.86,0.59,Stacking,Extract And Move Method
3,Stack-LR,GR,79.65,79.57,79.78,79.68,79.65,79.65,0.14,0.88,0.59,Stacking,Extract And Move Method
4,Stack-LR,GR,78.57,78.57,78.57,78.57,78.57,78.57,0.15,0.87,0.59,Stacking,Extract And Move Method
5,Stack-LR,GR,81.33,81.63,80.86,81.25,81.33,81.33,0.14,0.87,0.59,Stacking,Extract And Move Method
6,Stack-LR,GR,82.48,80.98,84.91,82.89,82.48,82.47,0.13,0.89,0.59,Stacking,Extract And Move Method
7,Stack-LR,GR,78.23,79.55,76.01,77.74,78.23,78.22,0.15,0.86,0.59,Stacking,Extract And Move Method
8,Stack-LR,GR,81.32,80.77,82.19,81.47,81.32,81.32,0.14,0.88,0.59,Stacking,Extract And Move Method
9,Stack-LR,GR,75.93,77.23,73.58,75.36,75.93,75.91,0.17,0.82,0.59,Stacking,Extract And Move Method
10,Stack-DT,GR,70.01,71.06,67.52,69.25,70.01,69.99,0.3,0.7,0.41,Stacking,Extract And Move Method
11,Stack-DT,GR,71.16,72.95,67.25,69.99,71.16,71.11,0.29,0.71,0.41,Stacking,Extract And Move Method
12,Stack-DT,GR,72.3,73.48,69.81,71.6,72.3,72.29,0.28,0.72,0.41,Stacking,Extract And Move Method
13,Stack-DT,GR,67.18,68.95,62.53,65.58,67.18,67.11,0.33,0.67,0.41,Stacking,Extract And Move Method
14,Stack-DT,GR,66.58,67.98,62.67,65.22,66.58,66.53,0.33,0.67,0.41,Stacking,Extract And Move Method
15,Stack-DT,GR,70.89,72.86,66.58,69.58,70.89,70.84,0.29,0.71,0.41,Stacking,Extract And Move Method
16,Stack-DT,GR,74.8,74.4,75.61,75,74.8,74.8,0.25,0.75,0.41,Stacking,Extract And Move Method
17,Stack-DT,GR,70.42,72.71,65.36,68.84,70.42,70.34,0.3,0.7,0.41,Stacking,Extract And Move Method
18,Stack-DT,GR,71.68,71.66,71.66,71.66,71.68,71.68,0.28,0.72,0.41,Stacking,Extract And Move Method
19,Stack-DT,GR,71.81,73.55,68.19,70.77,71.81,71.78,0.28,0.72,0.41,Stacking,Extract And Move Method
0,TBStack-LR,GR,87.2,85.94,88.95,87.42,87.2,87.19,0.09,0.94,0.74,TreeStacking,Extract And Move Method
1,TBStack-LR,GR,87.2,85.2,90.03,87.55,87.2,87.19,0.1,0.93,0.74,TreeStacking,Extract And Move Method
2,TBStack-LR,GR,86.05,83.4,90.03,86.58,86.05,86.03,0.1,0.92,0.74,TreeStacking,Extract And Move Method
3,TBStack-LR,GR,86.59,84.24,90.03,87.04,86.59,86.57,0.1,0.93,0.74,TreeStacking,Extract And Move Method
4,TBStack-LR,GR,88.27,85.5,92.18,88.72,88.27,88.26,0.09,0.93,0.74,TreeStacking,Extract And Move Method
5,TBStack-LR,GR,85.24,83.74,87.47,85.56,85.24,85.24,0.1,0.93,0.74,TreeStacking,Extract And Move Method
6,TBStack-LR,GR,88.01,85.07,92.18,88.49,88.01,87.98,0.09,0.94,0.74,TreeStacking,Extract And Move Method
7,TBStack-LR,GR,85.51,85.27,85.85,85.56,85.51,85.51,0.1,0.93,0.74,TreeStacking,Extract And Move Method
8,TBStack-LR,GR,88.87,85.64,93.39,89.35,88.87,88.85,0.09,0.94,0.74,TreeStacking,Extract And Move Method
9,TBStack-LR,GR,84.42,83.57,85.71,84.63,84.42,84.42,0.11,0.91,0.74,TreeStacking,Extract And Move Method
10,TBStack-DT,GR,79.58,83.51,73.72,78.31,79.58,79.51,0.2,0.8,0.59,TreeStacking,Extract And Move Method
11,TBStack-DT,GR,77.49,80.45,72.64,76.35,77.49,77.44,0.23,0.77,0.59,TreeStacking,Extract And Move Method
12,TBStack-DT,GR,77.9,81.46,72.24,76.57,77.9,77.83,0.22,0.78,0.59,TreeStacking,Extract And Move Method
13,TBStack-DT,GR,82.08,82.43,81.54,81.98,82.08,82.07,0.18,0.82,0.59,TreeStacking,Extract And Move Method
14,TBStack-DT,GR,80.86,83.38,77.09,80.11,80.86,80.84,0.19,0.81,0.59,TreeStacking,Extract And Move Method
15,TBStack-DT,GR,76.35,80.31,69.81,74.69,76.35,76.25,0.24,0.76,0.59,TreeStacking,Extract And Move Method
16,TBStack-DT,GR,79.78,82.31,75.88,78.96,79.78,79.75,0.2,0.8,0.59,TreeStacking,Extract And Move Method
17,TBStack-DT,GR,81.47,83.79,78.03,80.81,81.47,81.45,0.19,0.81,0.59,TreeStacking,Extract And Move Method
18,TBStack-DT,GR,82.4,83.52,80.7,82.09,82.4,82.4,0.18,0.82,0.59,TreeStacking,Extract And Move Method
19,TBStack-DT,GR,77.07,80.55,71.43,75.71,77.07,77,0.23,0.77,0.59,TreeStacking,Extract And Move Method
0,Stack-LR,GR,81.06,81.63,80.16,80.89,81.06,81.06,0.13,0.89,0.61,Stacking,Extract Method
1,Stack-LR,GR,82.43,82.26,82.71,82.48,82.43,82.43,0.13,0.89,0.61,Stacking,Extract Method
2,Stack-LR,GR,82.2,82.36,81.96,82.16,82.2,82.2,0.13,0.9,0.61,Stacking,Extract Method
3,Stack-LR,GR,80.63,79.07,83.31,81.14,80.63,80.62,0.14,0.88,0.61,Stacking,Extract Method
4,Stack-LR,GR,74.32,70.41,83.88,76.56,74.32,74.08,0.18,0.82,0.61,Stacking,Extract Method
5,Stack-LR,GR,83.05,83.21,82.82,83.02,83.05,83.05,0.12,0.9,0.61,Stacking,Extract Method
6,Stack-LR,GR,80.99,79.65,83.24,81.41,80.99,80.98,0.14,0.88,0.61,Stacking,Extract Method
7,Stack-LR,GR,81.44,81.93,80.67,81.3,81.44,81.44,0.13,0.89,0.61,Stacking,Extract Method
8,Stack-LR,GR,79.71,78.09,82.59,80.28,79.71,79.69,0.14,0.87,0.61,Stacking,Extract Method
9,Stack-LR,GR,81.01,80.55,81.78,81.16,81.01,81.01,0.13,0.89,0.61,Stacking,Extract Method
10,Stack-DT,GR,71.6,70.14,75.23,72.6,71.6,71.57,0.28,0.72,0.39,Stacking,Extract Method
11,Stack-DT,GR,71.54,70.22,74.79,72.43,71.54,71.51,0.28,0.72,0.39,Stacking,Extract Method
12,Stack-DT,GR,68.09,66.53,72.82,69.53,68.09,68.02,0.32,0.68,0.39,Stacking,Extract Method
13,Stack-DT,GR,70.21,68.48,74.87,71.54,70.21,70.14,0.3,0.7,0.39,Stacking,Extract Method
14,Stack-DT,GR,66.44,64.47,73.26,68.58,66.44,66.29,0.34,0.66,0.39,Stacking,Extract Method
15,Stack-DT,GR,66.78,64.44,74.88,69.27,66.78,66.56,0.33,0.67,0.39,Stacking,Extract Method
16,Stack-DT,GR,66.87,64.47,75.15,69.4,66.87,66.64,0.33,0.67,0.39,Stacking,Extract Method
17,Stack-DT,GR,69.02,66.49,76.7,71.23,69.02,68.84,0.31,0.69,0.39,Stacking,Extract Method
18,Stack-DT,GR,68.77,66.34,76.18,70.92,68.77,68.6,0.31,0.69,0.39,Stacking,Extract Method
19,Stack-DT,GR,72,70.71,75.11,72.84,72,71.97,0.28,0.72,0.39,Stacking,Extract Method
0,TBStack-LR,GR,82.51,82.52,82.49,82.51,82.51,82.51,0.12,0.91,0.63,TreeStacking,Extract Method
1,TBStack-LR,GR,83.2,83.26,83.11,83.18,83.2,83.2,0.12,0.9,0.63,TreeStacking,Extract Method
2,TBStack-LR,GR,83.03,83.36,82.54,82.95,83.03,83.03,0.12,0.91,0.63,TreeStacking,Extract Method
3,TBStack-LR,GR,81.45,80.51,82.99,81.73,81.45,81.44,0.13,0.89,0.63,TreeStacking,Extract Method
4,TBStack-LR,GR,76.35,73.16,83.23,77.87,76.35,76.24,0.17,0.83,0.63,TreeStacking,Extract Method
5,TBStack-LR,GR,83.68,84.31,82.77,83.53,83.68,83.68,0.12,0.9,0.63,TreeStacking,Extract Method
6,TBStack-LR,GR,77.78,74.97,83.4,78.96,77.78,77.71,0.15,0.87,0.63,TreeStacking,Extract Method
7,TBStack-LR,GR,82.17,82.35,81.89,82.12,82.17,82.17,0.13,0.9,0.63,TreeStacking,Extract Method
8,TBStack-LR,GR,80.6,78.99,83.38,81.13,80.6,80.59,0.14,0.88,0.63,TreeStacking,Extract Method
9,TBStack-LR,GR,81.94,81.32,82.93,82.12,81.94,81.94,0.13,0.9,0.63,TreeStacking,Extract Method
10,TBStack-DT,GR,73.17,71.97,75.89,73.88,73.17,73.15,0.27,0.73,0.44,TreeStacking,Extract Method
11,TBStack-DT,GR,72.85,71.5,75.99,73.68,72.85,72.82,0.27,0.73,0.44,TreeStacking,Extract Method
12,TBStack-DT,GR,73,71.62,76.17,73.83,73,72.97,0.27,0.73,0.44,TreeStacking,Extract Method
13,TBStack-DT,GR,72.25,71.17,74.78,72.93,72.25,72.23,0.28,0.72,0.44,TreeStacking,Extract Method
14,TBStack-DT,GR,68.8,66.44,75.97,70.89,68.8,68.64,0.31,0.69,0.44,TreeStacking,Extract Method
15,TBStack-DT,GR,73.4,72.33,75.79,74.02,73.4,73.38,0.27,0.73,0.44,TreeStacking,Extract Method
16,TBStack-DT,GR,69.7,67.19,76.99,71.76,69.7,69.54,0.3,0.7,0.44,TreeStacking,Extract Method
17,TBStack-DT,GR,71.11,69.45,75.38,72.29,71.11,71.06,0.29,0.71,0.44,TreeStacking,Extract Method
18,TBStack-DT,GR,72.03,70.28,76.35,73.19,72.03,71.98,0.28,0.72,0.44,TreeStacking,Extract Method
19,TBStack-DT,GR,72.64,71.04,76.45,73.65,72.64,72.6,0.27,0.73,0.44,TreeStacking,Extract Method
0,Stack-LR,GR,91.58,94.02,88.82,91.34,91.58,91.58,0.07,0.95,0.84,Stacking,Inline Method
1,Stack-LR,GR,91.47,93.63,88.99,91.25,91.47,91.47,0.07,0.96,0.84,Stacking,Inline Method
2,Stack-LR,GR,91.57,93.74,89.1,91.36,91.57,91.57,0.07,0.96,0.84,Stacking,Inline Method
3,Stack-LR,GR,92.65,93.92,91.21,92.54,92.65,92.65,0.06,0.97,0.84,Stacking,Inline Method
4,Stack-LR,GR,92.22,94.47,89.7,92.02,92.22,92.22,0.06,0.96,0.84,Stacking,Inline Method
5,Stack-LR,GR,91.61,94.45,88.42,91.33,91.61,91.6,0.07,0.96,0.84,Stacking,Inline Method
6,Stack-LR,GR,91.5,94.89,87.72,91.16,91.5,91.48,0.07,0.96,0.84,Stacking,Inline Method
7,Stack-LR,GR,92.22,94.52,89.65,92.02,92.22,92.22,0.06,0.96,0.84,Stacking,Inline Method
8,Stack-LR,GR,90.93,93.79,87.67,90.63,90.93,90.92,0.07,0.95,0.84,Stacking,Inline Method
9,Stack-LR,GR,92.44,95.33,89.25,92.19,92.44,92.43,0.06,0.96,0.84,Stacking,Inline Method
10,Stack-DT,GR,85.69,85.79,85.55,85.67,85.69,85.69,0.14,0.86,0.72,Stacking,Inline Method
11,Stack-DT,GR,85.93,85.5,86.53,86.01,85.93,85.93,0.14,0.86,0.72,Stacking,Inline Method
12,Stack-DT,GR,86.94,86.26,87.86,87.06,86.94,86.94,0.13,0.87,0.72,Stacking,Inline Method
13,Stack-DT,GR,86.87,86.12,87.91,87.01,86.87,86.87,0.13,0.87,0.72,Stacking,Inline Method
14,Stack-DT,GR,86.11,85.32,87.21,86.26,86.11,86.11,0.14,0.86,0.72,Stacking,Inline Method
15,Stack-DT,GR,86.77,86.2,87.57,86.88,86.77,86.77,0.13,0.87,0.72,Stacking,Inline Method
16,Stack-DT,GR,87.07,87.54,86.46,87,87.07,87.07,0.13,0.87,0.72,Stacking,Inline Method
17,Stack-DT,GR,84.17,81.44,88.52,84.83,84.17,84.14,0.16,0.84,0.72,Stacking,Inline Method
18,Stack-DT,GR,86.13,86.21,86.03,86.12,86.13,86.13,0.14,0.86,0.72,Stacking,Inline Method
19,Stack-DT,GR,86.35,85.98,86.86,86.42,86.35,86.35,0.14,0.86,0.72,Stacking,Inline Method
0,TBStack-LR,GR,96.92,97.1,96.73,96.92,96.92,96.92,0.02,0.99,0.96,TreeStacking,Inline Method
1,TBStack-LR,GR,97.83,97.24,98.44,97.84,97.83,97.83,0.02,0.99,0.96,TreeStacking,Inline Method
2,TBStack-LR,GR,97.86,96.92,98.87,97.89,97.86,97.86,0.02,0.99,0.96,TreeStacking,Inline Method
3,TBStack-LR,GR,98.03,97.23,98.87,98.04,98.03,98.03,0.02,0.99,0.96,TreeStacking,Inline Method
4,TBStack-LR,GR,98.2,97.83,98.59,98.21,98.2,98.2,0.02,0.99,0.96,TreeStacking,Inline Method
5,TBStack-LR,GR,97.58,96.93,98.27,97.59,97.58,97.58,0.02,0.99,0.96,TreeStacking,Inline Method
6,TBStack-LR,GR,98.1,97.52,98.72,98.12,98.1,98.1,0.02,0.99,0.96,TreeStacking,Inline Method
7,TBStack-LR,GR,98.03,97.09,99.02,98.05,98.03,98.03,0.02,0.99,0.96,TreeStacking,Inline Method
8,TBStack-LR,GR,97.66,96.96,98.42,97.68,97.66,97.66,0.02,0.99,0.96,TreeStacking,Inline Method
9,TBStack-LR,GR,98.12,97.68,98.57,98.12,98.12,98.12,0.02,0.99,0.96,TreeStacking,Inline Method
10,TBStack-DT,GR,96.11,96.67,95.5,96.08,96.11,96.11,0.04,0.96,0.93,TreeStacking,Inline Method
11,TBStack-DT,GR,96.28,96.47,96.08,96.27,96.28,96.28,0.04,0.96,0.93,TreeStacking,Inline Method
12,TBStack-DT,GR,96.38,96.15,96.63,96.39,96.38,96.38,0.04,0.96,0.93,TreeStacking,Inline Method
13,TBStack-DT,GR,96.14,96.39,95.88,96.13,96.14,96.14,0.04,0.96,0.93,TreeStacking,Inline Method
14,TBStack-DT,GR,96.7,97.3,96.06,96.67,96.7,96.7,0.03,0.97,0.93,TreeStacking,Inline Method
15,TBStack-DT,GR,96.19,96.84,95.5,96.17,96.19,96.19,0.04,0.96,0.93,TreeStacking,Inline Method
16,TBStack-DT,GR,96.29,96.8,95.75,96.27,96.29,96.29,0.04,0.96,0.93,TreeStacking,Inline Method
17,TBStack-DT,GR,96.19,96.72,95.63,96.17,96.19,96.19,0.04,0.96,0.93,TreeStacking,Inline Method
18,TBStack-DT,GR,96.26,96.4,96.11,96.25,96.26,96.26,0.04,0.96,0.93,TreeStacking,Inline Method
19,TBStack-DT,GR,96.09,97.03,95.1,96.05,96.09,96.09,0.04,0.96,0.93,TreeStacking,Inline Method
0,Stack-LR,GR,97.56,98.93,96.16,97.53,97.56,97.56,0.02,0.99,0.95,Stacking,Move Method
1,Stack-LR,GR,97.53,98.89,96.13,97.49,97.53,97.53,0.02,0.99,0.95,Stacking,Move Method
2,Stack-LR,GR,97.08,98.55,95.56,97.03,97.08,97.08,0.02,0.98,0.95,Stacking,Move Method
3,Stack-LR,GR,96.96,98.22,95.66,96.92,96.96,96.96,0.02,0.99,0.95,Stacking,Move Method
4,Stack-LR,GR,97.54,98.89,96.17,97.51,97.54,97.54,0.02,0.99,0.95,Stacking,Move Method
5,Stack-LR,GR,97.66,98.87,96.43,97.63,97.66,97.66,0.02,0.99,0.95,Stacking,Move Method
6,Stack-LR,GR,97.9,98.93,96.84,97.88,97.9,97.9,0.02,0.99,0.95,Stacking,Move Method
7,Stack-LR,GR,98.02,98.74,97.29,98.01,98.02,98.02,0.02,0.99,0.95,Stacking,Move Method
8,Stack-LR,GR,97.65,98.79,96.48,97.62,97.65,97.65,0.02,0.99,0.95,Stacking,Move Method
9,Stack-LR,GR,97.73,98.61,96.83,97.71,97.73,97.73,0.02,0.99,0.95,Stacking,Move Method
10,Stack-DT,GR,95.27,94.83,95.76,95.29,95.27,95.27,0.05,0.95,0.9,Stacking,Move Method
11,Stack-DT,GR,95.14,94.19,96.22,95.19,95.14,95.14,0.05,0.95,0.9,Stacking,Move Method
12,Stack-DT,GR,94.74,94.89,94.58,94.74,94.74,94.74,0.05,0.95,0.9,Stacking,Move Method
13,Stack-DT,GR,94.41,94.03,94.83,94.43,94.41,94.41,0.06,0.94,0.9,Stacking,Move Method
14,Stack-DT,GR,95.47,94.92,96.08,95.5,95.47,95.47,0.05,0.95,0.9,Stacking,Move Method
15,Stack-DT,GR,95.69,95.32,96.1,95.71,95.69,95.69,0.04,0.96,0.9,Stacking,Move Method
16,Stack-DT,GR,95.51,94.61,96.52,95.56,95.51,95.51,0.04,0.96,0.9,Stacking,Move Method
17,Stack-DT,GR,95.29,94.03,96.71,95.35,95.29,95.28,0.05,0.95,0.9,Stacking,Move Method
18,Stack-DT,GR,95.91,95.46,96.4,95.93,95.91,95.91,0.04,0.96,0.9,Stacking,Move Method
19,Stack-DT,GR,93.11,92.64,93.67,93.15,93.11,93.11,0.07,0.93,0.9,Stacking,Move Method
0,TBStack-LR,GR,99.63,99.66,99.61,99.63,99.63,99.63,0,1,0.99,TreeStacking,Move Method
1,TBStack-LR,GR,99.39,99.45,99.33,99.39,99.39,99.39,0,1,0.99,TreeStacking,Move Method
2,TBStack-LR,GR,99.54,99.65,99.42,99.53,99.54,99.54,0,1,0.99,TreeStacking,Move Method
3,TBStack-LR,GR,99.4,99.69,99.11,99.4,99.4,99.4,0.01,1,0.99,TreeStacking,Move Method
4,TBStack-LR,GR,99.26,99.45,99.06,99.26,99.26,99.26,0,1,0.99,TreeStacking,Move Method
5,TBStack-LR,GR,99.55,99.58,99.52,99.55,99.55,99.55,0,1,0.99,TreeStacking,Move Method
6,TBStack-LR,GR,99.5,99.36,99.64,99.5,99.5,99.5,0,1,0.99,TreeStacking,Move Method
7,TBStack-LR,GR,99.51,99.44,99.58,99.51,99.51,99.51,0,1,0.99,TreeStacking,Move Method
8,TBStack-LR,GR,99.55,99.6,99.51,99.55,99.55,99.55,0,1,0.99,TreeStacking,Move Method
9,TBStack-LR,GR,99.49,99.31,99.67,99.49,99.49,99.49,0,1,0.99,TreeStacking,Move Method
10,TBStack-DT,GR,99.29,99.29,99.29,99.29,99.29,99.29,0.01,0.99,0.98,TreeStacking,Move Method
11,TBStack-DT,GR,99,98.74,99.26,99,99,99,0.01,0.99,0.98,TreeStacking,Move Method
12,TBStack-DT,GR,98.67,98.68,98.67,98.67,98.67,98.67,0.01,0.99,0.98,TreeStacking,Move Method
13,TBStack-DT,GR,98.94,98.93,98.94,98.94,98.94,98.94,0.01,0.99,0.98,TreeStacking,Move Method
14,TBStack-DT,GR,98.88,98.8,98.97,98.88,98.88,98.88,0.01,0.99,0.98,TreeStacking,Move Method
15,TBStack-DT,GR,99.1,99.09,99.1,99.1,99.1,99.1,0.01,0.99,0.98,TreeStacking,Move Method
16,TBStack-DT,GR,99.2,99.22,99.18,99.2,99.2,99.2,0.01,0.99,0.98,TreeStacking,Move Method
17,TBStack-DT,GR,98.74,99.12,98.36,98.74,98.74,98.74,0.01,0.99,0.98,TreeStacking,Move Method
18,TBStack-DT,GR,99.11,99.03,99.2,99.11,99.11,99.11,0.01,0.99,0.98,TreeStacking,Move Method
19,TBStack-DT,GR,99.05,99.02,99.08,99.05,99.05,99.05,0.01,0.99,0.98,TreeStacking,Move Method
0,Stack-LR,GR,95.32,97.5,93.03,95.21,95.32,95.32,0.04,0.98,0.92,Stacking,Pull Up Method
1,Stack-LR,GR,96.91,97.96,95.8,96.87,96.91,96.91,0.03,0.99,0.92,Stacking,Pull Up Method
2,Stack-LR,GR,94.99,97.12,92.74,94.88,94.99,94.99,0.04,0.98,0.92,Stacking,Pull Up Method
3,Stack-LR,GR,95.57,98.08,92.96,95.45,95.57,95.57,0.04,0.98,0.92,Stacking,Pull Up Method
4,Stack-LR,GR,95.63,97.98,93.19,95.53,95.63,95.63,0.04,0.98,0.92,Stacking,Pull Up Method
5,Stack-LR,GR,96.27,98.2,94.27,96.19,96.27,96.27,0.03,0.98,0.92,Stacking,Pull Up Method
6,Stack-LR,GR,96.03,97.83,94.16,95.96,96.03,96.03,0.03,0.98,0.92,Stacking,Pull Up Method
7,Stack-LR,GR,95.96,97.77,94.08,95.89,95.96,95.96,0.03,0.98,0.92,Stacking,Pull Up Method
8,Stack-LR,GR,95.88,97.95,93.71,95.79,95.88,95.87,0.03,0.98,0.92,Stacking,Pull Up Method
9,Stack-LR,GR,96.39,97.57,95.16,96.35,96.39,96.39,0.03,0.99,0.92,Stacking,Pull Up Method
10,Stack-DT,GR,93.88,94.57,93.09,93.83,93.88,93.88,0.06,0.94,0.88,Stacking,Pull Up Method
11,Stack-DT,GR,95.25,95.45,95.03,95.24,95.25,95.25,0.05,0.95,0.88,Stacking,Pull Up Method
12,Stack-DT,GR,93.72,94.83,92.48,93.64,93.72,93.72,0.06,0.94,0.88,Stacking,Pull Up Method
13,Stack-DT,GR,94.07,95.68,92.31,93.97,94.07,94.07,0.06,0.94,0.88,Stacking,Pull Up Method
14,Stack-DT,GR,93.64,94.49,92.69,93.58,93.64,93.64,0.06,0.94,0.88,Stacking,Pull Up Method
15,Stack-DT,GR,93.26,94.81,91.53,93.14,93.26,93.26,0.07,0.93,0.88,Stacking,Pull Up Method
16,Stack-DT,GR,94.14,95.01,93.17,94.08,94.14,94.14,0.06,0.94,0.88,Stacking,Pull Up Method
17,Stack-DT,GR,92.56,94.07,90.84,92.43,92.56,92.55,0.07,0.93,0.88,Stacking,Pull Up Method
18,Stack-DT,GR,93.92,94.86,92.88,93.86,93.92,93.92,0.06,0.94,0.88,Stacking,Pull Up Method
19,Stack-DT,GR,94.4,94.99,93.74,94.36,94.4,94.4,0.06,0.94,0.88,Stacking,Pull Up Method
0,TBStack-LR,GR,99.33,99.3,99.37,99.34,99.33,99.33,0.01,1,0.99,TreeStacking,Pull Up Method
1,TBStack-LR,GR,99.46,99.3,99.63,99.46,99.46,99.46,0,1,0.99,TreeStacking,Pull Up Method
2,TBStack-LR,GR,99.37,99.24,99.5,99.37,99.37,99.37,0.01,1,0.99,TreeStacking,Pull Up Method
3,TBStack-LR,GR,99.38,99.41,99.36,99.38,99.38,99.38,0.01,1,0.99,TreeStacking,Pull Up Method
4,TBStack-LR,GR,98.82,99.39,98.24,98.81,98.82,98.82,0.01,1,0.99,TreeStacking,Pull Up Method
5,TBStack-LR,GR,99.04,99.34,98.75,99.04,99.04,99.04,0.01,1,0.99,TreeStacking,Pull Up Method
6,TBStack-LR,GR,99.3,99.33,99.26,99.3,99.3,99.3,0.01,1,0.99,TreeStacking,Pull Up Method
7,TBStack-LR,GR,99.47,99.24,99.7,99.47,99.47,99.47,0.01,1,0.99,TreeStacking,Pull Up Method
8,TBStack-LR,GR,99.22,99.36,99.08,99.22,99.22,99.22,0.01,1,0.99,TreeStacking,Pull Up Method
9,TBStack-LR,GR,99.37,99.43,99.31,99.37,99.37,99.37,0.01,1,0.99,TreeStacking,Pull Up Method
10,TBStack-DT,GR,97.24,99.15,95.3,97.19,97.24,97.24,0.03,0.97,0.97,TreeStacking,Pull Up Method
11,TBStack-DT,GR,97.98,99.14,96.79,97.95,97.98,97.97,0.02,0.98,0.97,TreeStacking,Pull Up Method
12,TBStack-DT,GR,98.75,99.14,98.36,98.75,98.75,98.75,0.01,0.99,0.97,TreeStacking,Pull Up Method
13,TBStack-DT,GR,98.65,99.3,97.99,98.64,98.65,98.65,0.01,0.99,0.97,TreeStacking,Pull Up Method
14,TBStack-DT,GR,98.15,99.08,97.21,98.13,98.15,98.15,0.02,0.98,0.97,TreeStacking,Pull Up Method
15,TBStack-DT,GR,98.73,99.1,98.35,98.72,98.73,98.73,0.01,0.99,0.97,TreeStacking,Pull Up Method
16,TBStack-DT,GR,98.51,99.33,97.67,98.49,98.51,98.51,0.01,0.99,0.97,TreeStacking,Pull Up Method
17,TBStack-DT,GR,98.58,99.22,97.93,98.57,98.58,98.58,0.01,0.99,0.97,TreeStacking,Pull Up Method
18,TBStack-DT,GR,97.97,98.92,96.98,97.95,97.97,97.97,0.02,0.98,0.97,TreeStacking,Pull Up Method
19,TBStack-DT,GR,98.65,99.11,98.19,98.65,98.65,98.65,0.01,0.99,0.97,TreeStacking,Pull Up Method
0,Stack-LR,GR,89.35,93.13,84.97,88.86,89.35,89.33,0.08,0.96,0.79,Stacking,Push Down Method
1,Stack-LR,GR,89.22,92.78,85.07,88.76,89.22,89.2,0.08,0.95,0.79,Stacking,Push Down Method
2,Stack-LR,GR,86.4,90.66,81.16,85.65,86.4,86.36,0.1,0.93,0.79,Stacking,Push Down Method
3,Stack-LR,GR,90.33,92.39,87.9,90.09,90.33,90.32,0.07,0.95,0.79,Stacking,Push Down Method
4,Stack-LR,GR,89.41,92.41,85.87,89.02,89.41,89.4,0.08,0.96,0.79,Stacking,Push Down Method
5,Stack-LR,GR,90.75,92.62,88.54,90.54,90.75,90.74,0.07,0.96,0.79,Stacking,Push Down Method
