Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
66,NB(G),Stack-LR,t-test,11.6098622,2.313819598283624e-06,Reject,Stack-LR,NB(G),Extract Variable
67,NB(G),Stack-DT,t-test,11.6098622,0.000258207,Reject,Stack-DT,NB(G),Extract Variable
68,NB(G),TBStack-LR,t-test,11.6098622,4.95522104632654e-07,Reject,TBStack-LR,NB(G),Extract Variable
69,NB(G),TBStack-DT,t-test,11.6098622,0.000212621,Reject,TBStack-DT,NB(G),Extract Variable
70,NB(M),KNN,t-test,11.6098622,0.006696367,Reject,KNN,NB(M),Extract Variable
72,NB(M),Stack-LR,t-test,11.6098622,1.899639961886839e-05,Reject,Stack-LR,NB(M),Extract Variable
73,NB(M),Stack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
74,NB(M),TBStack-LR,t-test,11.6098622,5.922576600845027e-06,Reject,TBStack-LR,NB(M),Extract Variable
75,NB(M),TBStack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
77,KNN,Stack-LR,t-test,11.6098622,0.088177424,Accept,,,Extract Variable
78,KNN,Stack-DT,t-test,11.6098622,0.002869007,Reject,KNN,Stack-DT,Extract Variable
79,KNN,TBStack-LR,t-test,11.6098622,0.008058634,Reject,TBStack-LR,KNN,Extract Variable
80,KNN,TBStack-DT,t-test,11.6098622,0.1390573733626973,Accept,,,Extract Variable
85,Stack-LR,Stack-DT,t-test,11.6098622,1.715613444641705e-06,Reject,Stack-LR,Stack-DT,Extract Variable
86,Stack-LR,TBStack-LR,t-test,11.6098622,0.099254707,Accept,,,Extract Variable
87,Stack-LR,TBStack-DT,t-test,11.6098622,4.908529640843224e-05,Reject,Stack-LR,TBStack-DT,Extract Variable
88,Stack-DT,TBStack-LR,t-test,11.6098622,5.629961598578528e-07,Reject,TBStack-LR,Stack-DT,Extract Variable
89,Stack-DT,TBStack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
90,TBStack-LR,TBStack-DT,t-test,11.6098622,9.280672474871285e-05,Reject,TBStack-LR,TBStack-DT,Extract Variable
0,DT,LR,Wilcoxon,0,1.254911081776055e-05,Reject,DT,LR,Inline Variable
1,DT,SVM,Wilcoxon,0,0.000110627,Reject,DT,SVM,Inline Variable
2,DT,MLP,Wilcoxon,0,4.181694100695941e-06,Reject,MLP,DT,Inline Variable
3,DT,SGD,Wilcoxon,0,1.116158926391678e-05,Reject,DT,SGD,Inline Variable
4,DT,NB(B),Wilcoxon,0,7.580823174042099e-08,Reject,DT,NB(B),Inline Variable
5,DT,NB(G),Wilcoxon,0,0.177734375,Accept,,,Inline Variable
6,DT,NB(M),Wilcoxon,0,9.741515948884445e-09,Reject,DT,NB(M),Inline Variable
7,DT,KNN,Wilcoxon,0,1,Accept,,,Inline Variable
9,DT,Stack-LR,Wilcoxon,0,7.025283524415782e-09,Reject,Stack-LR,DT,Inline Variable
10,DT,Stack-DT,Wilcoxon,0,0.968897761,Accept,,,Inline Variable
11,DT,TBStack-LR,Wilcoxon,0,7.442540178267585e-11,Reject,TBStack-LR,DT,Inline Variable
12,DT,TBStack-DT,Wilcoxon,0,0.177734375,Accept,,,Inline Variable
13,LR,SVM,Wilcoxon,0,0.001364146,Reject,SVM,LR,Inline Variable
14,LR,MLP,Wilcoxon,0,2.619370411950078e-09,Reject,MLP,LR,Inline Variable
15,LR,SGD,Wilcoxon,0,0.072046955,Accept,,,Inline Variable
16,LR,NB(B),Wilcoxon,0,4.900964005413071e-06,Reject,LR,NB(B),Inline Variable
17,LR,NB(G),Wilcoxon,0,0.177734375,Accept,,,Inline Variable
18,LR,NB(M),Wilcoxon,0,4.606196912312214e-08,Reject,LR,NB(M),Inline Variable
19,LR,KNN,Wilcoxon,0,0.000107491,Reject,KNN,LR,Inline Variable
21,LR,Stack-LR,Wilcoxon,0,1.467602293596232e-09,Reject,Stack-LR,LR,Inline Variable
22,LR,Stack-DT,Wilcoxon,0,0.000798707,Reject,Stack-DT,LR,Inline Variable
23,LR,TBStack-LR,Wilcoxon,0,1.290816953039056e-11,Reject,TBStack-LR,LR,Inline Variable
24,LR,TBStack-DT,Wilcoxon,0,0.177734375,Accept,,,Inline Variable
25,SVM,MLP,Wilcoxon,0,1.836341198246458e-08,Reject,MLP,SVM,Inline Variable
